Purchase{id=26, person=Person{firstName='Vitia', lastName='Wressell', email='vwressellp@joomla.org', ipAddress='83.75.76.69'}, car=Car{color='#fc52a8', carVin='5N1AA0NE0EN847693', carCompany='BMW', carModel='Z4', carModelYear='2010', carPrice=30372.27}, location=Location{country='Czech Republic', city='Břeclav'}, date=2020-01-07}
Purchase{id=349, person=Person{firstName='Anson', lastName='Arnaudon', email='aarnaudon9o@over-blog.com', ipAddress='184.197.82.34'}, car=Car{color='#b6c2aa', carVin='SCBET9ZA9FC137784', carCompany='BMW', carModel='M3', carModelYear='2004', carPrice=3563.02}, location=Location{country='Poland', city='Jaworzyna Śląska'}, date=2020-03-06}
Purchase{id=367, person=Person{firstName='Yolande', lastName='Cosgrove', email='ycosgrovea6@adobe.com', ipAddress='41.41.17.78'}, car=Car{color='#40a84a', carVin='2C3CDZAGXFH102853', carCompany='BMW', carModel='530', carModelYear='2003', carPrice=36923.42}, location=Location{country='Poland', city='Popielów'}, date=2020-01-08}
Purchase{id=451, person=Person{firstName='Jazmin', lastName='Mapstone', email='jmapstoneci@clickbank.net', ipAddress='28.200.22.52'}, car=Car{color='#84d91a', carVin='WAUEFBFL3BN474433', carCompany='BMW', carModel='5 Series', carModelYear='2003', carPrice=6372.82}, location=Location{country='Poland', city='Psary'}, date=2020-08-15}
Purchase{id=478, person=Person{firstName='Ada', lastName='Hadeke', email='ahadeked9@mashable.com', ipAddress='92.201.230.105'}, car=Car{color='#eac55c', carVin='1N4AA5AP7CC491489', carCompany='BMW', carModel='M5', carModelYear='2006', carPrice=38152.91}, location=Location{country='Czech Republic', city='Chlumčany'}, date=2020-03-24}
Purchase{id=522, person=Person{firstName='Regine', lastName='Slader', email='rsladereh@vkontakte.ru', ipAddress='68.216.205.116'}, car=Car{color='#1375fd', carVin='2T1KE4EE8BC652217', carCompany='BMW', carModel='330', carModelYear='2006', carPrice=3362.42}, location=Location{country='Poland', city='Prażmów'}, date=2020-12-13}
Purchase{id=539, person=Person{firstName='Archie', lastName='Bloys', email='abloysey@fda.gov', ipAddress='95.124.129.182'}, car=Car{color='#714e59', carVin='1G4CW54K314951206', carCompany='BMW', carModel='530', carModelYear='2007', carPrice=67131.57}, location=Location{country='Czech Republic', city='Horní Cerekev'}, date=2020-12-19}
Purchase{id=601, person=Person{firstName='Erasmus', lastName='Peschke', email='epeschkego@google.es', ipAddress='29.143.142.85'}, car=Car{color='#4636e3', carVin='WAUWFBFLXBA009224', carCompany='BMW', carModel='M5', carModelYear='2001', carPrice=78384.64}, location=Location{country='Poland', city='Michałów-Reginów'}, date=2020-09-19}
Purchase{id=630, person=Person{firstName='Mellicent', lastName='Sergent', email='msergenthh@howstuffworks.com', ipAddress='176.43.113.212'}, car=Car{color='#46ac4e', carVin='1ZVBP8JSXB5330203', carCompany='BMW', carModel='760', carModelYear='2006', carPrice=69781.42}, location=Location{country='Czech Republic', city='Černovice'}, date=2020-07-11}
Purchase{id=633, person=Person{firstName='Sam', lastName='Rickeard', email='srickeardhk@adobe.com', ipAddress='111.6.178.72'}, car=Car{color='#b7d7fa', carVin='WAUHF68P86A769514', carCompany='BMW', carModel='6 Series', carModelYear='2005', carPrice=41179.80}, location=Location{country='Poland', city='Żabieniec'}, date=2020-11-23}
Purchase{id=636, person=Person{firstName='Tommy', lastName='Learmount', email='tlearmounthn@hud.gov', ipAddress='181.185.37.107'}, car=Car{color='#ddd371', carVin='3D4PG9FG3BT856677', carCompany='BMW', carModel='M', carModelYear='2000', carPrice=70022.09}, location=Location{country='Poland', city='Łobez'}, date=2020-07-26}
Purchase{id=657, person=Person{firstName='Bay', lastName='Roantree', email='broantreei8@desdev.cn', ipAddress='42.123.237.151'}, car=Car{color='#80008c', carVin='19UUA9F53CA939570', carCompany='BMW', carModel='760', carModelYear='2006', carPrice=59059.35}, location=Location{country='Poland', city='Rogóźno'}, date=2020-01-24}
Purchase{id=658, person=Person{firstName='Jamie', lastName='MacMoyer', email='jmacmoyeri9@livejournal.com', ipAddress='217.57.10.46'}, car=Car{color='#2879b8', carVin='WAUJC68E72A129314', carCompany='BMW', carModel='Alpina B7', carModelYear='2008', carPrice=28596.30}, location=Location{country='Poland', city='Frydrychowice'}, date=2020-04-02}
Purchase{id=682, person=Person{firstName='Sascha', lastName='Wringe', email='swringeix@cnet.com', ipAddress='146.203.31.212'}, car=Car{color='#b4d5ce', carVin='WBAVT13556A226612', carCompany='BMW', carModel='M3', carModelYear='2011', carPrice=79238.32}, location=Location{country='Poland', city='Trzciana'}, date=2020-11-04}
Purchase{id=734, person=Person{firstName='Chrysa', lastName='Colman', email='ccolmankd@issuu.com', ipAddress='210.68.171.160'}, car=Car{color='#c023b2', carVin='JN1CV6EK0BM778471', carCompany='BMW', carModel='X5 M', carModelYear='2010', carPrice=74527.00}, location=Location{country='Poland', city='Cisek'}, date=2020-04-29}
Purchase{id=735, person=Person{firstName='Perl', lastName='Caiger', email='pcaigerke@wordpress.com', ipAddress='38.245.198.204'}, car=Car{color='#f81757', carVin='1C3BCBFG5CN025486', carCompany='BMW', carModel='X6', carModelYear='2009', carPrice=64508.20}, location=Location{country='Poland', city='Leśnica'}, date=2020-10-27}
Purchase{id=754, person=Person{firstName='Marshall', lastName='Adamiec', email='madamieckx@flickr.com', ipAddress='215.141.7.211'}, car=Car{color='#0d7282', carVin='SCBLE37G45C648386', carCompany='BMW', carModel='X5', carModelYear='2012', carPrice=33217.66}, location=Location{country='Poland', city='Brzozów'}, date=2020-05-10}
Purchase{id=780, person=Person{firstName='Vivi', lastName='Keough', email='vkeoughln@merriam-webster.com', ipAddress='56.73.252.43'}, car=Car{color='#22b80c', carVin='3VWKX7AJ2AM850860', carCompany='BMW', carModel='M3', carModelYear='2005', carPrice=28318.62}, location=Location{country='Poland', city='Świdwin'}, date=2020-09-28}
Purchase{id=843, person=Person{firstName='Jared', lastName='Hudspith', email='jhudspithne@cocolog-nifty.com', ipAddress='206.127.159.23'}, car=Car{color='#925c85', carVin='TRUTX28N321128904', carCompany='BMW', carModel='7 Series', carModelYear='1993', carPrice=29836.57}, location=Location{country='Poland', city='Goczałkowice Zdrój'}, date=2020-11-19}
Purchase{id=894, person=Person{firstName='Vickie', lastName='Muffitt', email='vmuffittot@sfgate.com', ipAddress='57.45.46.106'}, car=Car{color='#41cbb0', carVin='KNALN4D74F5578835', carCompany='BMW', carModel='5 Series', carModelYear='2004', carPrice=21662.12}, location=Location{country='Poland', city='Piekielnik'}, date=2020-12-15}
Purchase{id=902, person=Person{firstName='Klement', lastName='Probetts', email='kprobettsp1@xing.com', ipAddress='180.234.99.175'}, car=Car{color='#41826a', carVin='1N6AA0CA1AN804279', carCompany='BMW', carModel='X6', carModelYear='2013', carPrice=76733.87}, location=Location{country='Czech Republic', city='Bystřany'}, date=2020-02-29}
Purchase{id=954, person=Person{firstName='Heath', lastName='Smallthwaite', email='hsmallthwaiteqh@last.fm', ipAddress='70.198.40.140'}, car=Car{color='#59f2b9', carVin='1C3CDFBB0FD093143', carCompany='BMW', carModel='M3', carModelYear='1997', carPrice=78597.13}, location=Location{country='Poland', city='Kraczkowa'}, date=2020-03-14}
Purchase{id=961, person=Person{firstName='Carola', lastName='Darte', email='cdarteqo@bluehost.com', ipAddress='136.246.236.170'}, car=Car{color='#0020e6', carVin='1FTMF1C84AK055254', carCompany='BMW', carModel='M3', carModelYear='1998', carPrice=24263.80}, location=Location{country='Czech Republic', city='Batelov'}, date=2020-04-17}
