Purchase{id=119, person=Person{firstName='Arielle', lastName='Guilloud', email='aguilloud3a@instagram.com', ipAddress='68.234.56.80'}, car=Car{color='#d2b6dd', carVin='3C6JD6DKXCG825607', carCompany='Hyundai', carModel='Veracruz', carModelYear='2009', carPrice=9339.93}, location=Location{country='Czech Republic', city='Zlín'}, date=2020-02-28}
Purchase{id=600, person=Person{firstName='Ezekiel', lastName='Morriarty', email='emorriartygn@xinhuanet.com', ipAddress='196.126.238.57'}, car=Car{color='#eedad0', carVin='1C3CDZCB9DN297799', carCompany='Hyundai', carModel='Azera', carModelYear='2008', carPrice=18203.75}, location=Location{country='Czech Republic', city='Habry'}, date=2020-10-20}
Purchase{id=668, person=Person{firstName='Augustine', lastName='Murfett', email='amurfettij@apache.org', ipAddress='10.185.87.127'}, car=Car{color='#27b592', carVin='5NPDH4AEXBH533166', carCompany='Hyundai', carModel='Genesis', carModelYear='2009', carPrice=1489.55}, location=Location{country='Czech Republic', city='Velké Bílovice'}, date=2020-09-28}
Purchase{id=744, person=Person{firstName='Brook', lastName='Maling', email='bmalingkn@ustream.tv', ipAddress='218.96.249.226'}, car=Car{color='#5cd826', carVin='SALFR2BN3CH239657', carCompany='Hyundai', carModel='Sonata', carModelYear='2007', carPrice=87557.69}, location=Location{country='Poland', city='Niedzica'}, date=2020-04-05}
Purchase{id=791, person=Person{firstName='Dillon', lastName='Goolden', email='dgooldenly@ibm.com', ipAddress='98.10.45.205'}, car=Car{color='#9882e2', carVin='1FMEU6FE6AU564822', carCompany='Hyundai', carModel='Santa Fe', carModelYear='2006', carPrice=38452.21}, location=Location{country='Czech Republic', city='Prachatice'}, date=2020-10-23}
Purchase{id=846, person=Person{firstName='Reg', lastName='Topping', email='rtoppingnh@pagesperso-orange.fr', ipAddress='232.85.187.214'}, car=Car{color='#52def9', carVin='JN8AS5MT0BW729667', carCompany='Hyundai', carModel='Elantra', carModelYear='2009', carPrice=98188.28}, location=Location{country='Czech Republic', city='Křížová'}, date=2020-06-24}
Purchase{id=854, person=Person{firstName='Karlik', lastName='Kevern', email='kkevernnp@google.com.hk', ipAddress='180.203.254.113'}, car=Car{color='#7b1ce8', carVin='5TDBK3EH4DS741046', carCompany='Hyundai', carModel='Elantra', carModelYear='2011', carPrice=2283.22}, location=Location{country='Czech Republic', city='Buštěhrad'}, date=2020-02-23}
Purchase{id=859, person=Person{firstName='Ingmar', lastName='Bettis', email='ibettisnu@mediafire.com', ipAddress='246.233.175.150'}, car=Car{color='#4cd33c', carVin='WAUMF98P06A214847', carCompany='Hyundai', carModel='Azera', carModelYear='2009', carPrice=18176.17}, location=Location{country='Poland', city='Gwoźnica Górna'}, date=2020-08-31}
Purchase{id=900, person=Person{firstName='Lavina', lastName='Nieass', email='lnieassoz@oracle.com', ipAddress='161.210.226.255'}, car=Car{color='#673e12', carVin='SCBBR53WX6C362407', carCompany='Hyundai', carModel='Accent', carModelYear='2012', carPrice=2478.54}, location=Location{country='Poland', city='Dobre Miasto'}, date=2020-04-21}
Purchase{id=931, person=Person{firstName='Dagmar', lastName='Moodycliffe', email='dmoodycliffepu@cisco.com', ipAddress='230.189.241.167'}, car=Car{color='#019143', carVin='KNADH4A38B6595431', carCompany='Hyundai', carModel='Accent', carModelYear='2002', carPrice=46633.87}, location=Location{country='Poland', city='Strzelce'}, date=2020-07-26}
Purchase{id=973, person=Person{firstName='Jolie', lastName='Lilywhite', email='jlilywhiter0@sphinn.com', ipAddress='110.56.3.212'}, car=Car{color='#67faf4', carVin='1GYS3DEF2ER559552', carCompany='Hyundai', carModel='Scoupe', carModelYear='1994', carPrice=66626.90}, location=Location{country='Poland', city='Czerwonak'}, date=2020-08-08}
