Purchase{id=32, person=Person{firstName='Cello', lastName='Carroll', email='ccarrollv@spotify.com', ipAddress='213.92.152.33'}, car=Car{color='#e24e3a', carVin='JN8AZ1MU6CW935297', carCompany='Mitsubishi', carModel='Truck', carModelYear='1987', carPrice=67651.11}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-05-18}
Purchase{id=736, person=Person{firstName='Bryan', lastName='Thiolier', email='bthiolierkf@delicious.com', ipAddress='183.200.133.169'}, car=Car{color='#e3825f', carVin='WBA3N9C54EK059510', carCompany='Mitsubishi', carModel='Pajero', carModelYear='2002', carPrice=40611.47}, location=Location{country='Czech Republic', city='Bílovec'}, date=2020-02-18}
Purchase{id=810, person=Person{firstName='Cathrine', lastName='Baysting', email='cbaystingmh@slashdot.org', ipAddress='127.42.205.62'}, car=Car{color='#555fa6', carVin='1FTWW3DY2AE410486', carCompany='Mitsubishi', carModel='GTO', carModelYear='1997', carPrice=54508.40}, location=Location{country='Poland', city='Izbicko'}, date=2020-03-10}
Purchase{id=814, person=Person{firstName='Adria', lastName='Kmiec', email='akmiecml@forbes.com', ipAddress='108.75.144.161'}, car=Car{color='#af68ea', carVin='KMHCM3AC0BU954573', carCompany='Mitsubishi', carModel='Lancer Evolution', carModelYear='2011', carPrice=48174.13}, location=Location{country='Poland', city='Mirów'}, date=2020-07-31}
Purchase{id=823, person=Person{firstName='Iona', lastName='Hurdidge', email='ihurdidgemu@craigslist.org', ipAddress='5.11.204.5'}, car=Car{color='#fd1967', carVin='JTHBC1KS7B5733378', carCompany='Mitsubishi', carModel='Challenger', carModelYear='1999', carPrice=24182.93}, location=Location{country='Poland', city='Latowicz'}, date=2020-06-26}
Purchase{id=856, person=Person{firstName='Neddy', lastName='Danihelka', email='ndanihelkanr@cmu.edu', ipAddress='210.3.20.110'}, car=Car{color='#a95560', carVin='1FTEX1CM0CF350961', carCompany='Mitsubishi', carModel='Truck', carModelYear='1992', carPrice=26599.44}, location=Location{country='Poland', city='Wilkowice'}, date=2020-08-06}
Purchase{id=880, person=Person{firstName='Morlee', lastName='Blacklawe', email='mblacklaweof@domainmarket.com', ipAddress='251.250.227.153'}, car=Car{color='#7a1d81', carVin='2HNYD28267H388036', carCompany='Mitsubishi', carModel='Endeavor', carModelYear='2009', carPrice=4000.68}, location=Location{country='Czech Republic', city='Sezemice'}, date=2020-12-12}
Purchase{id=895, person=Person{firstName='Barnett', lastName='Britcher', email='bbritcherou@blog.com', ipAddress='43.219.219.175'}, car=Car{color='#33d7a0', carVin='1GYS4HEF4CR449006', carCompany='Mitsubishi', carModel='Starion', carModelYear='1984', carPrice=73629.88}, location=Location{country='Poland', city='Żarki-Letnisko'}, date=2020-12-07}
Purchase{id=927, person=Person{firstName='Kareem', lastName='Rheam', email='krheampq@unblog.fr', ipAddress='239.86.70.84'}, car=Car{color='#755613', carVin='WBA6B8C58FD828998', carCompany='Mitsubishi', carModel='Eclipse', carModelYear='1999', carPrice=86159.35}, location=Location{country='Poland', city='Wysoka'}, date=2020-09-10}
Purchase{id=936, person=Person{firstName='Paxton', lastName='Romme', email='prommepz@arstechnica.com', ipAddress='57.101.216.153'}, car=Car{color='#4dbe83', carVin='1FBNE3BL4BD056729', carCompany='Mitsubishi', carModel='Pajero', carModelYear='1988', carPrice=42986.39}, location=Location{country='Poland', city='Obryte'}, date=2020-06-26}
Purchase{id=983, person=Person{firstName='Andrus', lastName='Sutterby', email='asutterbyra@godaddy.com', ipAddress='160.244.236.27'}, car=Car{color='#b422c6', carVin='1FTWX3D57AE721169', carCompany='Mitsubishi', carModel='Mirage', carModelYear='1988', carPrice=88972.98}, location=Location{country='Denmark', city='København'}, date=2020-12-21}
Purchase{id=997, person=Person{firstName='Angy', lastName='Tait', email='ataitro@ustream.tv', ipAddress='158.170.176.89'}, car=Car{color='#3a4344', carVin='5GAKRAED6CJ976705', carCompany='Mitsubishi', carModel='Montero', carModelYear='1999', carPrice=14036.44}, location=Location{country='Poland', city='Mosina'}, date=2020-06-01}
