Purchase{id=76, person=Person{firstName='Ben', lastName='Yarwood', email='byarwood23@creativecommons.org', ipAddress='118.169.87.59'}, car=Car{color='#ff6af6', carVin='WBA6B4C59DD511334', carCompany='Nissan', carModel='300ZX', carModelYear='1991', carPrice=12845.04}, location=Location{country='Poland', city='Borzęcin'}, date=2020-10-02}
Purchase{id=544, person=Person{firstName='Rawley', lastName='Fryman', email='rfrymanf3@edublogs.org', ipAddress='247.204.75.243'}, car=Car{color='#4b9010', carVin='WDDUG7GB5FA114193', carCompany='Nissan', carModel='Maxima', carModelYear='1995', carPrice=55147.67}, location=Location{country='Poland', city='Sokolniki'}, date=2020-07-26}
Purchase{id=574, person=Person{firstName='Alessandra', lastName='Cloke', email='aclokefx@slashdot.org', ipAddress='212.223.187.227'}, car=Car{color='#48e196', carVin='5XXGM4A75EG929645', carCompany='Nissan', carModel='Altima', carModelYear='2000', carPrice=55524.45}, location=Location{country='Poland', city='Rudziczka'}, date=2020-01-09}
Purchase{id=580, person=Person{firstName='Ulrika', lastName='Wroughton', email='uwroughtong3@tuttocitta.it', ipAddress='141.163.147.147'}, car=Car{color='#ce965e', carVin='WAUMR44E66N492420', carCompany='Nissan', carModel='200SX', carModelYear='1998', carPrice=41834.99}, location=Location{country='Czech Republic', city='Okrouhlice'}, date=2020-06-06}
Purchase{id=616, person=Person{firstName='Early', lastName='Fury', email='efuryh3@adobe.com', ipAddress='160.189.87.14'}, car=Car{color='#9b18ac', carVin='WBA4A7C58FG184938', carCompany='Nissan', carModel='Pathfinder Armada', carModelYear='2004', carPrice=96775.20}, location=Location{country='Poland', city='Mosty'}, date=2020-02-24}
Purchase{id=621, person=Person{firstName='Nolana', lastName='Semonin', email='nsemoninh8@scribd.com', ipAddress='171.134.28.14'}, car=Car{color='#2287d9', carVin='1G6DC8EY1B0437632', carCompany='Nissan', carModel='Titan', carModelYear='2007', carPrice=41050.28}, location=Location{country='Poland', city='Skrzydlna'}, date=2020-12-08}
Purchase{id=624, person=Person{firstName='Danica', lastName='Herion', email='dherionhb@google.es', ipAddress='237.229.127.126'}, car=Car{color='#c92c1b', carVin='WAUAF78E48A769308', carCompany='Nissan', carModel='Pathfinder', carModelYear='1998', carPrice=60327.03}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-11-14}
Purchase{id=714, person=Person{firstName='Alexandra', lastName='Whitehorne', email='awhitehornejt@bravesites.com', ipAddress='37.60.232.254'}, car=Car{color='#7a2163', carVin='WAUDK78T28A918435', carCompany='Nissan', carModel='Quest', carModelYear='2012', carPrice=4025.41}, location=Location{country='Poland', city='Wilkowice'}, date=2020-06-30}
Purchase{id=751, person=Person{firstName='Georgina', lastName='Darth', email='gdarthku@amazon.com', ipAddress='39.214.180.208'}, car=Car{color='#6b88b1', carVin='4T1BF1FK7EU562107', carCompany='Nissan', carModel='Datsun/Nissan Z-car', carModelYear='1990', carPrice=88329.10}, location=Location{country='Poland', city='Piekoszów'}, date=2020-02-08}
Purchase{id=778, person=Person{firstName='Tarra', lastName='Lenglet', email='tlengletll@cbc.ca', ipAddress='19.250.195.211'}, car=Car{color='#8dfad5', carVin='KMHCT4AE5EU157928', carCompany='Nissan', carModel='Altima', carModelYear='1997', carPrice=37540.55}, location=Location{country='Czech Republic', city='Lučina'}, date=2020-01-31}
Purchase{id=816, person=Person{firstName='Rickie', lastName='Cassey', email='rcasseymn@smh.com.au', ipAddress='96.24.231.41'}, car=Car{color='#99f60c', carVin='2CTALMEC2B6053108', carCompany='Nissan', carModel='300ZX', carModelYear='1995', carPrice=84230.04}, location=Location{country='Czech Republic', city='Zásmuky'}, date=2020-08-23}
Purchase{id=835, person=Person{firstName='Helaina', lastName='Pinkie', email='hpinkien6@rediff.com', ipAddress='189.225.239.64'}, car=Car{color='#6ac869', carVin='1FTWW3A5XAE602524', carCompany='Nissan', carModel='Pathfinder', carModelYear='2009', carPrice=96390.02}, location=Location{country='Poland', city='Moryń'}, date=2020-01-14}
Purchase{id=852, person=Person{firstName='Cesare', lastName='Loyndon', email='cloyndonnn@vimeo.com', ipAddress='38.50.54.89'}, car=Car{color='#f06683', carVin='WAUAGAFD1EN016425', carCompany='Nissan', carModel='Pathfinder', carModelYear='2001', carPrice=25406.17}, location=Location{country='Czech Republic', city='České Meziříčí'}, date=2020-03-05}
Purchase{id=887, person=Person{firstName='Grissel', lastName='Rudall', email='grudallom@java.com', ipAddress='31.136.221.217'}, car=Car{color='#052a83', carVin='3VW467ATXCM868684', carCompany='Nissan', carModel='350Z', carModelYear='2003', carPrice=39853.04}, location=Location{country='Poland', city='Gostyń'}, date=2020-02-21}
Purchase{id=893, person=Person{firstName='Arlinda', lastName='Pitkeathly', email='apitkeathlyos@forbes.com', ipAddress='177.233.232.169'}, car=Car{color='#355fad', carVin='1GD422CGXEF710085', carCompany='Nissan', carModel='Altima', carModelYear='2007', carPrice=45725.23}, location=Location{country='Germany', city='Heilbronn'}, date=2020-08-03}
Purchase{id=920, person=Person{firstName='Joelynn', lastName='Crellin', email='jcrellinpj@amazon.de', ipAddress='42.196.103.227'}, car=Car{color='#9bcf64', carVin='SCFEFBBC1AG391287', carCompany='Nissan', carModel='Frontier', carModelYear='1998', carPrice=20489.68}, location=Location{country='Czech Republic', city='Chrast'}, date=2020-07-06}
Purchase{id=932, person=Person{firstName='Woodman', lastName='Hallt', email='whalltpv@cargocollective.com', ipAddress='23.206.149.175'}, car=Car{color='#045ec0', carVin='SCFAB01A27G820797', carCompany='Nissan', carModel='Quest', carModelYear='2005', carPrice=39077.60}, location=Location{country='Poland', city='Bardo'}, date=2020-02-14}
Purchase{id=948, person=Person{firstName='Ferrel', lastName='Eastmead', email='feastmeadqb@statcounter.com', ipAddress='197.196.86.29'}, car=Car{color='#25425d', carVin='3N1AB6AP7CL224826', carCompany='Nissan', carModel='Sentra', carModelYear='1993', carPrice=85674.67}, location=Location{country='Poland', city='Grzmiąca'}, date=2020-06-28}
Purchase{id=971, person=Person{firstName='Vivianne', lastName='Boscher', email='vboscherqy@nationalgeographic.com', ipAddress='186.167.165.72'}, car=Car{color='#15e946', carVin='WA1LKBFP8AA191325', carCompany='Nissan', carModel='Altima', carModelYear='2002', carPrice=97803.65}, location=Location{country='Poland', city='Knurów'}, date=2020-05-07}
Purchase{id=976, person=Person{firstName='Brooke', lastName='Ary', email='baryr3@rambler.ru', ipAddress='177.126.58.141'}, car=Car{color='#a68aa5', carVin='3C4PDDAG6ET999823', carCompany='Nissan', carModel='GT-R', carModelYear='2011', carPrice=3222.64}, location=Location{country='Poland', city='Janowice'}, date=2020-06-05}
Purchase{id=978, person=Person{firstName='Alia', lastName='Bench', email='abenchr5@linkedin.com', ipAddress='253.54.252.141'}, car=Car{color='#fb903e', carVin='WBANA53515B514097', carCompany='Nissan', carModel='Pathfinder', carModelYear='2012', carPrice=36887.35}, location=Location{country='Czech Republic', city='Moravská Třebová'}, date=2020-01-01}
Purchase{id=985, person=Person{firstName='Neile', lastName='Dany', email='ndanyrc@dion.ne.jp', ipAddress='37.212.164.245'}, car=Car{color='#9a0f16', carVin='1G6KF57973U932155', carCompany='Nissan', carModel='Xterra', carModelYear='2006', carPrice=7004.45}, location=Location{country='Poland', city='Jawor'}, date=2020-12-17}
