Purchase{id=9, person=Person{firstName='Antonella', lastName='Riepl', email='ariepl8@mediafire.com', ipAddress='169.75.223.75'}, car=Car{color='#7c776f', carVin='2D4RN5D13AR749927', carCompany='Dodge', carModel='Neon', carModelYear='2004', carPrice=18117.79}, location=Location{country='Poland', city='Dobrzyca'}, date=2020-03-11}
Purchase{id=298, person=Person{firstName='Emyle', lastName='Ridpath', email='eridpath89@imgur.com', ipAddress='133.30.210.65'}, car=Car{color='#37f526', carVin='JN1BY1AP2EM933890', carCompany='Dodge', carModel='Dakota Club', carModelYear='1993', carPrice=996.28}, location=Location{country='Poland', city='Wińsko'}, date=2020-09-24}
Purchase{id=320, person=Person{firstName='Kristen', lastName='Girardez', email='kgirardez8v@hugedomains.com', ipAddress='90.225.67.178'}, car=Car{color='#475f71', carVin='4T1BF1FK9EU502698', carCompany='Dodge', carModel='Grand Caravan', carModelYear='2001', carPrice=77010.83}, location=Location{country='Poland', city='Włocławek'}, date=2020-12-01}
Purchase{id=327, person=Person{firstName='Morna', lastName='Arons', email='marons92@delicious.com', ipAddress='28.117.126.136'}, car=Car{color='#a6311e', carVin='JTHBL5EF7F1735134', carCompany='Dodge', carModel='Stratus', carModelYear='2005', carPrice=48100.31}, location=Location{country='Poland', city='Promna'}, date=2020-12-12}
Purchase{id=407, person=Person{firstName='Gracia', lastName='Falconar', email='gfalconarba@techcrunch.com', ipAddress='96.144.138.187'}, car=Car{color='#e595dc', carVin='WP0CA2A88AS487514', carCompany='Dodge', carModel='Ram Van 2500', carModelYear='1999', carPrice=58406.23}, location=Location{country='Czech Republic', city='Horní Libina'}, date=2020-08-14}
Purchase{id=432, person=Person{firstName='Gunther', lastName='Malby', email='gmalbybz@diigo.com', ipAddress='185.78.75.188'}, car=Car{color='#165da5', carVin='SALAB2D4XDA837242', carCompany='Dodge', carModel='Caravan', carModelYear='2000', carPrice=2124.36}, location=Location{country='Poland', city='Stoczek'}, date=2020-03-06}
Purchase{id=435, person=Person{firstName='Chadwick', lastName='Bonn', email='cbonnc2@bizjournals.com', ipAddress='64.141.16.38'}, car=Car{color='#70f22c', carVin='1FTEX1CM2DF720034', carCompany='Dodge', carModel='Ram 2500 Club', carModelYear='1999', carPrice=56625.93}, location=Location{country='Poland', city='Rydzyna'}, date=2020-09-29}
Purchase{id=459, person=Person{firstName='Darren', lastName='Baskerville', email='dbaskervillecq@exblog.jp', ipAddress='62.248.212.213'}, car=Car{color='#c4fe53', carVin='2HNYD18236H138164', carCompany='Dodge', carModel='Charger', carModelYear='2009', carPrice=58401.94}, location=Location{country='Czech Republic', city='Černý Most'}, date=2020-06-08}
Purchase{id=491, person=Person{firstName='Dulcinea', lastName='Seery', email='dseerydm@tuttocitta.it', ipAddress='194.248.44.87'}, car=Car{color='#7e0b48', carVin='SCBCU7ZA2BC744712', carCompany='Dodge', carModel='Ram Van B350', carModelYear='1994', carPrice=66831.50}, location=Location{country='Poland', city='Zbytków'}, date=2020-11-16}
Purchase{id=499, person=Person{firstName='Jackson', lastName='Grzegorzewicz', email='jgrzegorzewiczdu@123-reg.co.uk', ipAddress='158.96.196.114'}, car=Car{color='#410bb7', carVin='5LMJJ2H52AE787432', carCompany='Dodge', carModel='Viper', carModelYear='1993', carPrice=41325.74}, location=Location{country='Poland', city='Studzionka'}, date=2020-11-12}
Purchase{id=528, person=Person{firstName='Karol', lastName='Gaiter', email='kgaiteren@tuttocitta.it', ipAddress='158.241.79.27'}, car=Car{color='#7a516c', carVin='SCFFDCCD3CG713101', carCompany='Dodge', carModel='Dakota', carModelYear='1992', carPrice=99938.19}, location=Location{country='Poland', city='Mazańcowice'}, date=2020-08-23}
Purchase{id=542, person=Person{firstName='Cosimo', lastName='Filimore', email='cfilimoref1@ovh.net', ipAddress='226.187.123.119'}, car=Car{color='#6a59a1', carVin='5BZBF0AA3FN404954', carCompany='Dodge', carModel='Dakota', carModelYear='1995', carPrice=39865.22}, location=Location{country='Poland', city='Goworowo'}, date=2020-04-16}
Purchase{id=545, person=Person{firstName='Pam', lastName='Nuschke', email='pnuschkef4@mapquest.com', ipAddress='235.11.16.87'}, car=Car{color='#891356', carVin='WBA3D5C5XEF924890', carCompany='Dodge', carModel='Stratus', carModelYear='1998', carPrice=7386.62}, location=Location{country='Poland', city='Nowe Skalmierzyce'}, date=2020-11-27}
Purchase{id=548, person=Person{firstName='Wynn', lastName='Hugues', email='whuguesf7@umich.edu', ipAddress='156.161.210.4'}, car=Car{color='#1b86ad', carVin='1G6DJ8E34D0994323', carCompany='Dodge', carModel='Ram Van B250', carModelYear='1994', carPrice=23476.59}, location=Location{country='Poland', city='Zbrosławice'}, date=2020-02-21}
Purchase{id=558, person=Person{firstName='Kimmi', lastName='Bausor', email='kbausorfh@economist.com', ipAddress='134.174.249.133'}, car=Car{color='#34de8d', carVin='WBABD33495J025040', carCompany='Dodge', carModel='Ram Van 1500', carModelYear='1999', carPrice=27569.23}, location=Location{country='Poland', city='Gorzów Wielkopolski'}, date=2020-12-17}
Purchase{id=565, person=Person{firstName='Wenonah', lastName='Goundry', email='wgoundryfo@dropbox.com', ipAddress='146.22.89.181'}, car=Car{color='#f9fbdc', carVin='1G4GC5EG8AF688929', carCompany='Dodge', carModel='Dakota', carModelYear='1993', carPrice=94078.77}, location=Location{country='Poland', city='Suraż'}, date=2020-12-25}
Purchase{id=576, person=Person{firstName='Florrie', lastName='Hayesman', email='fhayesmanfz@multiply.com', ipAddress='32.194.206.72'}, car=Car{color='#e3ba22', carVin='WBA3B1G56EN934993', carCompany='Dodge', carModel='Grand Caravan', carModelYear='1995', carPrice=18931.15}, location=Location{country='Poland', city='Smolec'}, date=2020-02-05}
Purchase{id=607, person=Person{firstName='Thaxter', lastName='Wignall', email='twignallgu@unblog.fr', ipAddress='200.190.196.243'}, car=Car{color='#b11a14', carVin='WBABS534X2E025988', carCompany='Dodge', carModel='Ram Wagon B250', carModelYear='1994', carPrice=47066.16}, location=Location{country='Poland', city='Ursynów'}, date=2020-05-10}
Purchase{id=609, person=Person{firstName='Alvera', lastName='Cramb', email='acrambgw@skype.com', ipAddress='7.131.206.57'}, car=Car{color='#b86be5', carVin='1ZVBP8JS2A5298474', carCompany='Dodge', carModel='Avenger', carModelYear='2010', carPrice=54174.33}, location=Location{country='Poland', city='Humniska'}, date=2020-03-11}
Purchase{id=620, person=Person{firstName='Dorene', lastName='Straughan', email='dstraughanh7@samsung.com', ipAddress='212.170.85.153'}, car=Car{color='#87fccb', carVin='1G6DG577090424744', carCompany='Dodge', carModel='Dakota', carModelYear='2002', carPrice=91294.44}, location=Location{country='Czech Republic', city='Lipov'}, date=2020-01-20}
Purchase{id=632, person=Person{firstName='Si', lastName='Kinnerk', email='skinnerkhj@smugmug.com', ipAddress='199.27.53.131'}, car=Car{color='#cae8ea', carVin='WBAUP93528V957296', carCompany='Dodge', carModel='Spirit', carModelYear='1992', carPrice=62428.34}, location=Location{country='Poland', city='Książki'}, date=2020-04-10}
Purchase{id=634, person=Person{firstName='Mirna', lastName='Grainge', email='mgraingehl@ihg.com', ipAddress='34.229.232.189'}, car=Car{color='#43e59c', carVin='1FMJU1G56AE177147', carCompany='Dodge', carModel='Ram Van B350', carModelYear='1992', carPrice=68013.76}, location=Location{country='Germany', city='Hamburg'}, date=2020-09-10}
Purchase{id=645, person=Person{firstName='Myrah', lastName='Wilcocke', email='mwilcockehw@cbc.ca', ipAddress='219.236.232.243'}, car=Car{color='#3a57c5', carVin='5N1AR2MM5EC088001', carCompany='Dodge', carModel='Avenger', carModelYear='1997', carPrice=47767.09}, location=Location{country='Poland', city='Rogóźno'}, date=2020-10-29}
Purchase{id=673, person=Person{firstName='Katusha', lastName='Hayer', email='khayerio@springer.com', ipAddress='124.225.87.39'}, car=Car{color='#97d0f2', carVin='WA1CMBFP9FA152843', carCompany='Dodge', carModel='Grand Caravan', carModelYear='2003', carPrice=61882.08}, location=Location{country='Czech Republic', city='Kraslice'}, date=2020-07-08}
Purchase{id=675, person=Person{firstName='Sheelah', lastName='Peachey', email='speacheyiq@github.io', ipAddress='244.7.97.169'}, car=Car{color='#b80aa7', carVin='1G6YV36A675573460', carCompany='Dodge', carModel='Viper RT/10', carModelYear='1995', carPrice=42522.73}, location=Location{country='Poland', city='Ornontowice'}, date=2020-08-14}
Purchase{id=677, person=Person{firstName='Sib', lastName='Morena', email='smorenais@symantec.com', ipAddress='117.161.99.47'}, car=Car{color='#54b333', carVin='WBAFR9C50BD074264', carCompany='Dodge', carModel='Ram Wagon B250', carModelYear='1994', carPrice=34367.40}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-04-06}
Purchase{id=681, person=Person{firstName='Barnabas', lastName='Grinsdale', email='bgrinsdaleiw@foxnews.com', ipAddress='97.143.174.239'}, car=Car{color='#2d6d7d', carVin='2G4WC582X61377707', carCompany='Dodge', carModel='Grand Caravan', carModelYear='2007', carPrice=28163.77}, location=Location{country='Poland', city='Stepnica'}, date=2020-12-30}
Purchase{id=749, person=Person{firstName='Daffy', lastName='Baudains', email='dbaudainsks@sphinn.com', ipAddress='101.5.63.49'}, car=Car{color='#c2f451', carVin='WBAPK7C5XAA490125', carCompany='Dodge', carModel='Durango', carModelYear='2009', carPrice=45584.85}, location=Location{country='Poland', city='Ochla'}, date=2020-12-28}
Purchase{id=765, person=Person{firstName='Fredrika', lastName='Kleynen', email='fkleynenl8@e-recht24.de', ipAddress='39.193.180.228'}, car=Car{color='#e3928f', carVin='3D7TP2CT1BG169068', carCompany='Dodge', carModel='Ram Van 2500', carModelYear='1997', carPrice=93066.99}, location=Location{country='Poland', city='Prusice'}, date=2020-10-25}
Purchase{id=771, person=Person{firstName='Mikol', lastName='Ends', email='mendsle@sohu.com', ipAddress='198.228.2.241'}, car=Car{color='#20f083', carVin='1FTWF3A53AE771803', carCompany='Dodge', carModel='Ram 2500 Club', carModelYear='1996', carPrice=32511.62}, location=Location{country='Poland', city='Odolanów'}, date=2020-06-23}
Purchase{id=844, person=Person{firstName='Vlad', lastName='Stiffkins', email='vstiffkinsnf@wikimedia.org', ipAddress='229.169.5.122'}, car=Car{color='#d50975', carVin='SALAB2V64EA427540', carCompany='Dodge', carModel='Ram 1500', carModelYear='2006', carPrice=97540.72}, location=Location{country='Poland', city='Szemud'}, date=2020-03-01}
Purchase{id=853, person=Person{firstName='Francine', lastName='Shreeves', email='fshreevesno@surveymonkey.com', ipAddress='229.34.247.205'}, car=Car{color='#fff295', carVin='5TFBM5F12AX467021', carCompany='Dodge', carModel='Charger', carModelYear='2012', carPrice=96970.36}, location=Location{country='Czech Republic', city='Český Těšín'}, date=2020-10-22}
Purchase{id=872, person=Person{firstName='Michelle', lastName='Rounsefell', email='mrounsefello7@chronoengine.com', ipAddress='127.142.126.71'}, car=Car{color='#d397c2', carVin='NM0KS9BN6DT608431', carCompany='Dodge', carModel='Ram Van B150', carModelYear='1994', carPrice=94292.51}, location=Location{country='Poland', city='Mętków'}, date=2020-08-10}
Purchase{id=884, person=Person{firstName='Roseann', lastName='June', email='rjuneoj@unicef.org', ipAddress='3.65.84.237'}, car=Car{color='#347e3e', carVin='WAUVFAFH9AN251169', carCompany='Dodge', carModel='Stratus', carModelYear='2003', carPrice=78182.91}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-02-10}
Purchase{id=918, person=Person{firstName='Brandyn', lastName='Rean', email='breanph@xinhuanet.com', ipAddress='237.74.32.111'}, car=Car{color='#54d872', carVin='WA1LMAFE7ED633440', carCompany='Dodge', carModel='Neon', carModelYear='2003', carPrice=84507.12}, location=Location{country='Czech Republic', city='Louny'}, date=2020-10-06}
Purchase{id=929, person=Person{firstName='Annissa', lastName='Beernt', email='abeerntps@about.me', ipAddress='231.81.164.97'}, car=Car{color='#c4ee83', carVin='1GYS3CEF6BR619628', carCompany='Dodge', carModel='Caravan', carModelYear='2010', carPrice=84143.31}, location=Location{country='Czech Republic', city='Horní Štěpánov'}, date=2020-06-05}
Purchase{id=946, person=Person{firstName='Claudetta', lastName='Dorrance', email='cdorranceq9@ft.com', ipAddress='58.120.252.39'}, car=Car{color='#41c53f', carVin='WBANW5C55AC276163', carCompany='Dodge', carModel='Ram Wagon B350', carModelYear='1992', carPrice=81464.86}, location=Location{country='Poland', city='Gręboszów'}, date=2020-03-14}
Purchase{id=956, person=Person{firstName='Alon', lastName='Ziemen', email='aziemenqj@tripod.com', ipAddress='6.117.243.92'}, car=Car{color='#35969e', carVin='WBY2Z2C55FV190146', carCompany='Dodge', carModel='Caravan', carModelYear='1999', carPrice=24546.55}, location=Location{country='Czech Republic', city='Velký Újezd'}, date=2020-10-01}
Purchase{id=967, person=Person{firstName='Jedd', lastName='Pointon', email='jpointonqu@flickr.com', ipAddress='30.221.214.139'}, car=Car{color='#0caf98', carVin='WBAEN33432P150697', carCompany='Dodge', carModel='Ram 2500', carModelYear='1994', carPrice=60999.32}, location=Location{country='Poland', city='Jastrowie'}, date=2020-09-07}
