Purchase{id=4, person=Person{firstName='Bobinette', lastName='Silversmid', email='bsilversmid3@va.gov', ipAddress='235.128.129.91'}, car=Car{color='#430bbb', carVin='3C4PDDDG8ET165757', carCompany='Audi', carModel='A6', carModelYear='2002', carPrice=14233.71}, location=Location{country='Poland', city='Parchowo'}, date=2020-02-04}
Purchase{id=456, person=Person{firstName='Arvin', lastName='Giddins', email='agiddinscn@surveymonkey.com', ipAddress='120.208.104.140'}, car=Car{color='#7f0e24', carVin='WDDEJ7EBXDA815639', carCompany='Audi', carModel='V8', carModelYear='1992', carPrice=94151.66}, location=Location{country='Denmark', city='København'}, date=2020-09-20}
Purchase{id=485, person=Person{firstName='Vinnie', lastName='Scafe', email='vscafedg@telegraph.co.uk', ipAddress='61.247.182.230'}, car=Car{color='#2531aa', carVin='1C3CDFBA5DD043407', carCompany='Audi', carModel='S8', carModelYear='2002', carPrice=17758.68}, location=Location{country='Poland', city='Sabnie'}, date=2020-05-12}
Purchase{id=492, person=Person{firstName='Amanda', lastName='Hearns', email='ahearnsdn@google.com', ipAddress='42.36.168.247'}, car=Car{color='#8b14e6', carVin='5GAKVAKD5EJ909516', carCompany='Audi', carModel='A3', carModelYear='2010', carPrice=63016.06}, location=Location{country='Czech Republic', city='Horní Čermná'}, date=2020-06-25}
Purchase{id=502, person=Person{firstName='Elsy', lastName='Nottle', email='enottledx@blogs.com', ipAddress='116.162.235.90'}, car=Car{color='#b4bff1', carVin='WBAET374X3N657500', carCompany='Audi', carModel='A4', carModelYear='2001', carPrice=57306.97}, location=Location{country='Poland', city='Łubniany'}, date=2020-01-26}
Purchase{id=506, person=Person{firstName='Alic', lastName='Drayson', email='adraysone1@alexa.com', ipAddress='176.227.48.66'}, car=Car{color='#770c3e', carVin='WAUUL98E96A945333', carCompany='Audi', carModel='A4', carModelYear='2005', carPrice=48332.49}, location=Location{country='Poland', city='Tuchomie'}, date=2020-07-28}
Purchase{id=513, person=Person{firstName='Krispin', lastName='Agiolfinger', email='kagiolfingere8@samsung.com', ipAddress='102.153.227.205'}, car=Car{color='#0f1fb4', carVin='JTDKN3DU9B0874200', carCompany='Audi', carModel='A6', carModelYear='2005', carPrice=11159.29}, location=Location{country='Poland', city='Wąsosz'}, date=2020-07-10}
Purchase{id=519, person=Person{firstName='Ricki', lastName='Kornyakov', email='rkornyakovee@123-reg.co.uk', ipAddress='78.242.149.171'}, car=Car{color='#bb665a', carVin='WAUNF98P36A395303', carCompany='Audi', carModel='TT', carModelYear='2004', carPrice=66745.47}, location=Location{country='Poland', city='Przywidz'}, date=2020-03-17}
Purchase{id=524, person=Person{firstName='Kathrine', lastName='Sewell', email='ksewellej@berkeley.edu', ipAddress='148.11.93.147'}, car=Car{color='#21b279', carVin='1G6DS5E35C0603934', carCompany='Audi', carModel='S4', carModelYear='2002', carPrice=99248.87}, location=Location{country='Poland', city='Gomunice'}, date=2020-02-14}
Purchase{id=628, person=Person{firstName='Goddart', lastName='Addeycott', email='gaddeycotthf@squidoo.com', ipAddress='25.127.246.9'}, car=Car{color='#b4d7c6', carVin='WP1AA2A2XCL587402', carCompany='Audi', carModel='5000S', carModelYear='1987', carPrice=62830.11}, location=Location{country='Czech Republic', city='Podolí'}, date=2020-09-11}
Purchase{id=722, person=Person{firstName='Fabian', lastName='Oxtoby', email='foxtobyk1@psu.edu', ipAddress='135.138.148.20'}, car=Car{color='#af5902', carVin='1GKS1CE07ER948290', carCompany='Audi', carModel='A3', carModelYear='2006', carPrice=2375.20}, location=Location{country='Czech Republic', city='Mnichovo Hradiště'}, date=2020-04-26}
Purchase{id=821, person=Person{firstName='Corbett', lastName='Rheubottom', email='crheubottomms@umich.edu', ipAddress='229.39.202.159'}, car=Car{color='#f3b1fd', carVin='1FTSW3B53AE198429', carCompany='Audi', carModel='Quattro', carModelYear='1994', carPrice=49492.18}, location=Location{country='Poland', city='Korczyna'}, date=2020-06-26}
Purchase{id=923, person=Person{firstName='Ilario', lastName='Trahmel', email='itrahmelpm@ifeng.com', ipAddress='143.149.151.75'}, car=Car{color='#b11fc5', carVin='3N1BC1AP1BL419856', carCompany='Audi', carModel='S4', carModelYear='2000', carPrice=31782.29}, location=Location{country='Poland', city='Dąbrowice'}, date=2020-01-29}
Purchase{id=964, person=Person{firstName='Robinette', lastName='Laurence', email='rlaurenceqr@vk.com', ipAddress='28.99.95.223'}, car=Car{color='#6ab30d', carVin='3D7LT2ET8BG756568', carCompany='Audi', carModel='A8', carModelYear='2000', carPrice=25751.50}, location=Location{country='Poland', city='Chruszczobród'}, date=2020-03-30}
