Purchase{id=7, person=Person{firstName='Ilario', lastName='Gillott', email='igillott6@cpanel.net', ipAddress='48.182.6.82'}, car=Car{color='#c7590d', carVin='WBAEH73465B522209', carCompany='Ford', carModel='Thunderbird', carModelYear='1955', carPrice=17700.70}, location=Location{country='Poland', city='Wapno'}, date=2020-06-04}
Purchase{id=94, person=Person{firstName='Ree', lastName='McEnhill', email='rmcenhill2l@springer.com', ipAddress='4.229.129.143'}, car=Car{color='#65eb6c', carVin='1FTNX2A51AE167024', carCompany='Ford', carModel='Excursion', carModelYear='2000', carPrice=73354.65}, location=Location{country='Poland', city='Młynary'}, date=2020-03-11}
Purchase{id=163, person=Person{firstName='Albertine', lastName='Sheasby', email='asheasby4i@weather.com', ipAddress='203.65.83.72'}, car=Car{color='#8c6319', carVin='2D4RN6DX2AR728030', carCompany='Ford', carModel='E-Series', carModelYear='2012', carPrice=16804.66}, location=Location{country='Poland', city='Zambrów'}, date=2020-10-27}
Purchase{id=177, person=Person{firstName='Shepherd', lastName='Ferraresi', email='sferraresi4w@census.gov', ipAddress='143.159.243.151'}, car=Car{color='#1ea9a7', carVin='1C3CDFCB9ED465706', carCompany='Ford', carModel='Mustang', carModelYear='2013', carPrice=5178.45}, location=Location{country='Czech Republic', city='Tvarožná'}, date=2020-03-06}
Purchase{id=200, person=Person{firstName='Drew', lastName='Menat', email='dmenat5j@bing.com', ipAddress='22.217.105.10'}, car=Car{color='#efe232', carVin='3VWC17AU3FM605198', carCompany='Ford', carModel='Aerostar', carModelYear='1990', carPrice=30656.51}, location=Location{country='Poland', city='Malanów'}, date=2020-02-13}
Purchase{id=212, person=Person{firstName='Penn', lastName='Latliff', email='platliff5v@icio.us', ipAddress='247.182.252.77'}, car=Car{color='#5ddedd', carVin='1G6DZ67A790847851', carCompany='Ford', carModel='Tempo', carModelYear='1994', carPrice=28779.90}, location=Location{country='Poland', city='Ćmielów'}, date=2020-02-24}
Purchase{id=227, person=Person{firstName='Shannen', lastName='Snoddon', email='ssnoddon6a@cnet.com', ipAddress='77.8.213.146'}, car=Car{color='#909262', carVin='2B3CJ7DW6AH689798', carCompany='Ford', carModel='F350', carModelYear='2011', carPrice=58379.50}, location=Location{country='Poland', city='Łobez'}, date=2020-01-22}
Purchase{id=256, person=Person{firstName='Bianca', lastName='Casel', email='bcasel73@ftc.gov', ipAddress='187.181.214.88'}, car=Car{color='#b923db', carVin='1FMJU1J53AE862361', carCompany='Ford', carModel='F250', carModelYear='2008', carPrice=97873.45}, location=Location{country='Poland', city='Sośnie'}, date=2020-03-02}
Purchase{id=265, person=Person{firstName='Natalya', lastName='Bricksey', email='nbricksey7c@ning.com', ipAddress='74.56.133.163'}, car=Car{color='#7f4c3c', carVin='WAUEH98E17A705183', carCompany='Ford', carModel='F-Series Super Duty', carModelYear='2010', carPrice=63191.27}, location=Location{country='Czech Republic', city='Nové Sedlo'}, date=2020-10-19}
Purchase{id=273, person=Person{firstName='Aube', lastName='Francescoccio', email='afrancescoccio7k@prlog.org', ipAddress='22.178.52.163'}, car=Car{color='#3862a7', carVin='5NPDH4AE2BH992904', carCompany='Ford', carModel='E150', carModelYear='2011', carPrice=89021.13}, location=Location{country='Poland', city='Krajenka'}, date=2020-12-04}
Purchase{id=275, person=Person{firstName='Marcello', lastName='Jeckells', email='mjeckells7m@harvard.edu', ipAddress='252.185.193.210'}, car=Car{color='#6f3d60', carVin='1GD020CG5BF412929', carCompany='Ford', carModel='Windstar', carModelYear='1997', carPrice=19569.07}, location=Location{country='Poland', city='Zalewo'}, date=2020-04-21}
Purchase{id=293, person=Person{firstName='Cindra', lastName='Beamond', email='cbeamond84@boston.com', ipAddress='175.111.94.230'}, car=Car{color='#f5034f', carVin='WUALNAFG3EN905239', carCompany='Ford', carModel='F-Series Super Duty', carModelYear='2009', carPrice=13314.57}, location=Location{country='Poland', city='Skołyszyn'}, date=2020-02-04}
Purchase{id=299, person=Person{firstName='Patty', lastName='Forth', email='pforth8a@drupal.org', ipAddress='172.12.7.62'}, car=Car{color='#e6e9eb', carVin='1G4PN5SK3C4069415', carCompany='Ford', carModel='Th!nk', carModelYear='2000', carPrice=82727.44}, location=Location{country='Poland', city='Szczytno'}, date=2020-01-11}
Purchase{id=312, person=Person{firstName='Beaufort', lastName='Martino', email='bmartino8n@cocolog-nifty.com', ipAddress='190.191.57.54'}, car=Car{color='#c9d5d5', carVin='1D4PT7GX6AW669778', carCompany='Ford', carModel='Explorer', carModelYear='2003', carPrice=99482.35}, location=Location{country='Czech Republic', city='Žiželice'}, date=2020-06-09}
Purchase{id=324, person=Person{firstName='Else', lastName='Fermoy', email='efermoy8z@harvard.edu', ipAddress='112.255.88.204'}, car=Car{color='#dabc1c', carVin='3VW1K7AJXCM946040', carCompany='Ford', carModel='Aerostar', carModelYear='1996', carPrice=88852.80}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-08-30}
Purchase{id=325, person=Person{firstName='Ermengarde', lastName='Andrea', email='eandrea90@admin.ch', ipAddress='243.190.121.218'}, car=Car{color='#a12cc2', carVin='JM1GJ1T61F1245135', carCompany='Ford', carModel='Bronco', carModelYear='1996', carPrice=2081.42}, location=Location{country='Poland', city='Błaszki'}, date=2020-12-21}
Purchase{id=336, person=Person{firstName='Priscilla', lastName='Marchetti', email='pmarchetti9b@gizmodo.com', ipAddress='89.39.130.238'}, car=Car{color='#22e8ec', carVin='2HNYD28587H084328', carCompany='Ford', carModel='E150', carModelYear='2008', carPrice=62890.12}, location=Location{country='Czech Republic', city='Frýdlant'}, date=2020-09-26}
Purchase{id=344, person=Person{firstName='Brandy', lastName='McGrail', email='bmcgrail9j@macromedia.com', ipAddress='192.242.198.32'}, car=Car{color='#224310', carVin='WBAYM1C5XED622526', carCompany='Ford', carModel='Escort', carModelYear='1997', carPrice=34041.27}, location=Location{country='Poland', city='Mrągowo'}, date=2020-08-01}
Purchase{id=351, person=Person{firstName='Gwenora', lastName='Degg', email='gdegg9q@1688.com', ipAddress='59.194.218.88'}, car=Car{color='#caa58e', carVin='WAUDF98E17A098414', carCompany='Ford', carModel='F450', carModelYear='2009', carPrice=66244.66}, location=Location{country='Poland', city='Mirocin'}, date=2020-02-03}
Purchase{id=352, person=Person{firstName='Analise', lastName='Yarnold', email='ayarnold9r@posterous.com', ipAddress='164.84.24.93'}, car=Car{color='#444f87', carVin='SALGR2WF9EA382325', carCompany='Ford', carModel='F-Series', carModelYear='2009', carPrice=33685.29}, location=Location{country='Denmark', city='København'}, date=2020-02-27}
Purchase{id=369, person=Person{firstName='Nicky', lastName='MacGowing', email='nmacgowinga8@quantcast.com', ipAddress='99.69.129.109'}, car=Car{color='#ffc287', carVin='WBAWL73599P849496', carCompany='Ford', carModel='F250', carModelYear='1996', carPrice=49845.67}, location=Location{country='Poland', city='Głogów Małopolski'}, date=2020-10-28}
Purchase{id=380, person=Person{firstName='Ardelis', lastName='Hammon', email='ahammonaj@harvard.edu', ipAddress='171.197.104.147'}, car=Car{color='#7c787d', carVin='JM1BL1L34C1082521', carCompany='Ford', carModel='Thunderbird', carModelYear='1996', carPrice=97447.57}, location=Location{country='Czech Republic', city='Vrbice'}, date=2020-12-20}
Purchase{id=384, person=Person{firstName='Keefe', lastName='Itter', email='kitteran@tamu.edu', ipAddress='4.37.211.183'}, car=Car{color='#2c9453', carVin='WAUHFAFL2FN082752', carCompany='Ford', carModel='F150', carModelYear='2009', carPrice=33093.92}, location=Location{country='Poland', city='Nowy Dwór Gdański'}, date=2020-05-03}
Purchase{id=389, person=Person{firstName='Lorens', lastName='Bowdon', email='lbowdonas@prnewswire.com', ipAddress='7.53.16.209'}, car=Car{color='#042bf1', carVin='1G4HP52K834840370', carCompany='Ford', carModel='Taurus', carModelYear='1997', carPrice=47935.84}, location=Location{country='Poland', city='Oleszyce'}, date=2020-06-09}
Purchase{id=394, person=Person{firstName='Maisey', lastName='Ezzell', email='mezzellax@engadget.com', ipAddress='181.40.242.15'}, car=Car{color='#0e0614', carVin='3VWKX8AJ8BM364142', carCompany='Ford', carModel='Mustang', carModelYear='1989', carPrice=16980.37}, location=Location{country='Poland', city='Daszewice'}, date=2020-01-31}
Purchase{id=397, person=Person{firstName='Meggi', lastName='Forder', email='mforderb0@usatoday.com', ipAddress='122.222.35.226'}, car=Car{color='#e6f37d', carVin='1G6AR5S38E0474593', carCompany='Ford', carModel='Probe', carModelYear='1997', carPrice=93767.17}, location=Location{country='Poland', city='Jasienica'}, date=2020-03-31}
Purchase{id=399, person=Person{firstName='Butch', lastName='Olekhov', email='bolekhovb2@prweb.com', ipAddress='146.160.157.144'}, car=Car{color='#c684be', carVin='1ZVBP8JS3C5967807', carCompany='Ford', carModel='Expedition', carModelYear='2012', carPrice=65644.92}, location=Location{country='Poland', city='Duczki'}, date=2020-03-30}
Purchase{id=410, person=Person{firstName='Skipp', lastName='Marages', email='smaragesbd@cdbaby.com', ipAddress='159.86.54.129'}, car=Car{color='#1a3e31', carVin='SCBBB7ZH8EC043594', carCompany='Ford', carModel='Mustang', carModelYear='1990', carPrice=68937.65}, location=Location{country='Czech Republic', city='Zbýšov'}, date=2020-12-17}
Purchase{id=429, person=Person{firstName='Will', lastName='Campo', email='wcampobw@discovery.com', ipAddress='52.44.53.42'}, car=Car{color='#630a19', carVin='SCFEBBAK8BG489805', carCompany='Ford', carModel='Transit Connect', carModelYear='2010', carPrice=99772.91}, location=Location{country='Poland', city='Zebrzydowice'}, date=2020-05-29}
Purchase{id=437, person=Person{firstName='Francisca', lastName='Fadian', email='ffadianc4@wikia.com', ipAddress='38.138.246.222'}, car=Car{color='#9e7231', carVin='SALAG2D46AA900530', carCompany='Ford', carModel='Contour', carModelYear='1995', carPrice=48603.83}, location=Location{country='Czech Republic', city='Kopidlno'}, date=2020-12-22}
Purchase{id=438, person=Person{firstName='Nixie', lastName='Yukhov', email='nyukhovc5@hp.com', ipAddress='42.134.119.242'}, car=Car{color='#d8d6cb', carVin='WBAKE3C51BE835594', carCompany='Ford', carModel='F150', carModelYear='1984', carPrice=4494.16}, location=Location{country='Poland', city='Wolanów'}, date=2020-10-26}
Purchase{id=440, person=Person{firstName='Alexa', lastName='Pallas', email='apallasc7@vkontakte.ru', ipAddress='26.238.135.74'}, car=Car{color='#98f68b', carVin='YV4902NC8F1971978', carCompany='Ford', carModel='Expedition', carModelYear='2006', carPrice=84550.06}, location=Location{country='Poland', city='Pewel Wielka'}, date=2020-07-12}
Purchase{id=441, person=Person{firstName='Robbert', lastName='Rigmond', email='rrigmondc8@printfriendly.com', ipAddress='75.231.166.208'}, car=Car{color='#616bdb', carVin='2CTALMEC6B6435187', carCompany='Ford', carModel='F350', carModelYear='2004', carPrice=87470.45}, location=Location{country='Czech Republic', city='Doksy'}, date=2020-04-22}
Purchase{id=462, person=Person{firstName='Keslie', lastName='Willock', email='kwillockct@exblog.jp', ipAddress='21.38.185.203'}, car=Car{color='#bc77cb', carVin='1N4AA5APXCC474959', carCompany='Ford', carModel='Taurus', carModelYear='1997', carPrice=46204.10}, location=Location{country='Czech Republic', city='Golčův Jeníkov'}, date=2020-01-19}
Purchase{id=468, person=Person{firstName='Sebastian', lastName='Dincke', email='sdinckecz@about.me', ipAddress='153.219.8.201'}, car=Car{color='#f7f05a', carVin='SCFEBBDL7EG595087', carCompany='Ford', carModel='Econoline E250', carModelYear='1995', carPrice=45703.33}, location=Location{country='Czech Republic', city='Topolná'}, date=2020-10-12}
Purchase{id=472, person=Person{firstName='Laurene', lastName='Leavry', email='lleavryd3@unblog.fr', ipAddress='211.212.230.98'}, car=Car{color='#610af0', carVin='1G6KD57Y76U239328', carCompany='Ford', carModel='F-Series', carModelYear='2001', carPrice=77382.36}, location=Location{country='Poland', city='Lubichowo'}, date=2020-06-29}
Purchase{id=487, person=Person{firstName='Carolus', lastName='Count', email='ccountdi@unicef.org', ipAddress='50.212.12.150'}, car=Car{color='#9e323e', carVin='2G4WE587771126828', carCompany='Ford', carModel='Thunderbird', carModelYear='1991', carPrice=95092.28}, location=Location{country='Czech Republic', city='Žďár'}, date=2020-07-18}
Purchase{id=493, person=Person{firstName='Gracie', lastName='Vreede', email='gvreededo@intel.com', ipAddress='161.160.214.144'}, car=Car{color='#0c3773', carVin='WAUKF78E46A139385', carCompany='Ford', carModel='Probe', carModelYear='1996', carPrice=51447.41}, location=Location{country='Poland', city='Libiąż'}, date=2020-03-26}
Purchase{id=494, person=Person{firstName='Glennis', lastName='Alway', email='galwaydp@ameblo.jp', ipAddress='161.10.131.73'}, car=Car{color='#dd1393', carVin='WP0AB2A9XBS643101', carCompany='Ford', carModel='Econoline E150', carModelYear='2001', carPrice=4969.63}, location=Location{country='Czech Republic', city='Dobroměřice'}, date=2020-04-18}
Purchase{id=517, person=Person{firstName='Noel', lastName='Poolton', email='npooltonec@google.ru', ipAddress='109.124.254.47'}, car=Car{color='#0ef729', carVin='5GAKRCED4BJ285019', carCompany='Ford', carModel='F250', carModelYear='2003', carPrice=24090.47}, location=Location{country='Denmark', city='København'}, date=2020-05-25}
Purchase{id=523, person=Person{firstName='Nanette', lastName='Mansour', email='nmansourei@deviantart.com', ipAddress='125.171.132.71'}, car=Car{color='#af0fa6', carVin='KMHHT6KD5BU694754', carCompany='Ford', carModel='Aerostar', carModelYear='1991', carPrice=96676.64}, location=Location{country='Poland', city='Wierzchosławice'}, date=2020-11-22}
Purchase{id=550, person=Person{firstName='Andreana', lastName='Matanin', email='amataninf9@github.com', ipAddress='77.84.224.209'}, car=Car{color='#80503e', carVin='3GYT4MEF1BG679596', carCompany='Ford', carModel='Thunderbird', carModelYear='2004', carPrice=6090.10}, location=Location{country='Poland', city='Korczew'}, date=2020-05-30}
Purchase{id=567, person=Person{firstName='Maye', lastName='Seally', email='mseallyfq@exblog.jp', ipAddress='55.34.149.55'}, car=Car{color='#6a59fa', carVin='5FRYD3H64EB608631', carCompany='Ford', carModel='Freestyle', carModelYear='2005', carPrice=85917.70}, location=Location{country='Czech Republic', city='Mýto'}, date=2020-12-18}
Purchase{id=585, person=Person{firstName='Dagny', lastName='Jinks', email='djinksg8@vistaprint.com', ipAddress='82.122.109.56'}, car=Car{color='#693127', carVin='5NPDH4AE0BH046817', carCompany='Ford', carModel='Econoline E250', carModelYear='1994', carPrice=20678.02}, location=Location{country='Czech Republic', city='Všenory'}, date=2020-06-05}
Purchase{id=586, person=Person{firstName='Cyndie', lastName='Leirmonth', email='cleirmonthg9@google.com', ipAddress='9.150.234.15'}, car=Car{color='#e1dee0', carVin='3VW1K7AJ3FM479922', carCompany='Ford', carModel='Econoline E150', carModelYear='2000', carPrice=60157.99}, location=Location{country='Czech Republic', city='Chrást'}, date=2020-12-15}
Purchase{id=597, person=Person{firstName='Arabele', lastName='Leblanc', email='aleblancgk@hp.com', ipAddress='3.219.16.92'}, car=Car{color='#30b9d0', carVin='1G4GA5GR5CF949859', carCompany='Ford', carModel='Crown Victoria', carModelYear='2006', carPrice=31058.64}, location=Location{country='Poland', city='Czarna Woda'}, date=2020-02-25}
Purchase{id=606, person=Person{firstName='Joel', lastName='Biddell', email='jbiddellgt@is.gd', ipAddress='30.138.171.71'}, car=Car{color='#8dd2f0', carVin='WAUJC68EX3A565219', carCompany='Ford', carModel='F-Series', carModelYear='1986', carPrice=79599.82}, location=Location{country='Poland', city='Rudna Mała'}, date=2020-06-28}
Purchase{id=615, person=Person{firstName='Ewart', lastName='Beatey', email='ebeateyh2@baidu.com', ipAddress='89.246.110.48'}, car=Car{color='#ac0d64', carVin='3D7TT2HT6AG705239', carCompany='Ford', carModel='Ranger', carModelYear='2002', carPrice=68096.90}, location=Location{country='Czech Republic', city='Žitenice'}, date=2020-12-20}
Purchase{id=617, person=Person{firstName='Fancy', lastName='Hooban', email='fhoobanh4@mail.ru', ipAddress='139.13.220.142'}, car=Car{color='#3c6447', carVin='3GYFNDEY9AS621629', carCompany='Ford', carModel='Mustang', carModelYear='1997', carPrice=63872.86}, location=Location{country='Poland', city='Błaszki'}, date=2020-04-17}
Purchase{id=648, person=Person{firstName='Cecilla', lastName='Sturges', email='csturgeshz@independent.co.uk', ipAddress='118.169.114.153'}, car=Car{color='#7d1b40', carVin='KM8JT3AB6DU726453', carCompany='Ford', carModel='Tempo', carModelYear='1989', carPrice=45282.09}, location=Location{country='Poland', city='Czerwonak'}, date=2020-06-26}
Purchase{id=649, person=Person{firstName='Phyllis', lastName='Shufflebotham', email='pshufflebothami0@dedecms.com', ipAddress='3.177.11.217'}, car=Car{color='#77f8f4', carVin='3N1CN7AP3DL914323', carCompany='Ford', carModel='Thunderbird', carModelYear='1958', carPrice=15928.37}, location=Location{country='Poland', city='Główczyce'}, date=2020-04-14}
Purchase{id=652, person=Person{firstName='Mathew', lastName='De Hooch', email='mdehoochi3@arizona.edu', ipAddress='12.31.117.171'}, car=Car{color='#90e402', carVin='WBAWL73587P081359', carCompany='Ford', carModel='Explorer', carModelYear='2010', carPrice=17174.29}, location=Location{country='Poland', city='Jeziora Wielkie'}, date=2020-06-03}
Purchase{id=661, person=Person{firstName='Simonette', lastName='Buffham', email='sbuffhamic@hexun.com', ipAddress='193.120.117.146'}, car=Car{color='#c86692', carVin='WAUEFAFL1EN464563', carCompany='Ford', carModel='Fusion', carModelYear='2006', carPrice=84373.36}, location=Location{country='Czech Republic', city='Milín'}, date=2020-04-29}
Purchase{id=663, person=Person{firstName='Glennis', lastName='Bletcher', email='gbletcherie@list-manage.com', ipAddress='144.117.86.86'}, car=Car{color='#c849e2', carVin='WP0AB2A96FS305040', carCompany='Ford', carModel='Thunderbird', carModelYear='1986', carPrice=69282.98}, location=Location{country='Poland', city='Bałtów'}, date=2020-03-10}
Purchase{id=665, person=Person{firstName='Laural', lastName='Tinklin', email='ltinklinig@indiegogo.com', ipAddress='78.172.205.113'}, car=Car{color='#8a2a5e', carVin='JTDKDTB39F1453588', carCompany='Ford', carModel='Taurus', carModelYear='2013', carPrice=9832.25}, location=Location{country='Germany', city='München'}, date=2020-02-08}
Purchase{id=669, person=Person{firstName='Felike', lastName='Hollidge', email='fhollidgeik@amazon.de', ipAddress='101.243.96.130'}, car=Car{color='#e4408f', carVin='5N1AR2MM6FC716049', carCompany='Ford', carModel='Laser', carModelYear='1986', carPrice=76248.04}, location=Location{country='Poland', city='Stare Pole'}, date=2020-10-29}
Purchase{id=679, person=Person{firstName='Loella', lastName='Elbourn', email='lelbourniu@cafepress.com', ipAddress='94.54.175.172'}, car=Car{color='#6b3a71', carVin='WBAYB6C53FG398812', carCompany='Ford', carModel='Econoline E350', carModelYear='1999', carPrice=70090.25}, location=Location{country='Czech Republic', city='Topolná'}, date=2020-12-13}
Purchase{id=683, person=Person{firstName='Omero', lastName='Giacopazzi', email='ogiacopazziiy@fc2.com', ipAddress='97.54.211.180'}, car=Car{color='#4c4be0', carVin='1G4GJ5E33DF921414', carCompany='Ford', carModel='Ranger', carModelYear='1997', carPrice=84884.07}, location=Location{country='Poland', city='Boleszkowice'}, date=2020-07-16}
Purchase{id=684, person=Person{firstName='Fredek', lastName='Marjoram', email='fmarjoramiz@ca.gov', ipAddress='231.132.21.93'}, car=Car{color='#4d6750', carVin='1D4PT5GK0AW706476', carCompany='Ford', carModel='E250', carModelYear='1984', carPrice=98725.52}, location=Location{country='Poland', city='Maciejowice'}, date=2020-06-14}
Purchase{id=709, person=Person{firstName='Mark', lastName='O'Coskerry', email='mocoskerryjo@jalbum.net', ipAddress='210.137.210.180'}, car=Car{color='#9f6def', carVin='1G6DC8EY3B0776957', carCompany='Ford', carModel='Aerostar', carModelYear='1987', carPrice=50162.31}, location=Location{country='Czech Republic', city='Všemina'}, date=2020-12-07}
Purchase{id=720, person=Person{firstName='Anthony', lastName='Smeaton', email='asmeatonjz@feedburner.com', ipAddress='190.166.165.237'}, car=Car{color='#51b296', carVin='JM1DE1KY0E0899980', carCompany='Ford', carModel='Escape', carModelYear='2012', carPrice=9988.65}, location=Location{country='Poland', city='Trzciana'}, date=2020-06-01}
Purchase{id=725, person=Person{firstName='Maure', lastName='Klimkiewich', email='mklimkiewichk4@cyberchimps.com', ipAddress='33.107.49.141'}, car=Car{color='#9b4395', carVin='WAUGGAFR3DA143978', carCompany='Ford', carModel='E-Series', carModelYear='1992', carPrice=20677.50}, location=Location{country='Poland', city='Sosnówka'}, date=2020-09-26}
Purchase{id=727, person=Person{firstName='Isidro', lastName='Shackleford', email='ishacklefordk6@cmu.edu', ipAddress='38.81.83.72'}, car=Car{color='#784e4f', carVin='3D73M4EL7AG525006', carCompany='Ford', carModel='Thunderbird', carModelYear='1990', carPrice=43073.07}, location=Location{country='Poland', city='Łaziska Górne'}, date=2020-10-30}
Purchase{id=730, person=Person{firstName='Julie', lastName='Power', email='jpowerk9@ihg.com', ipAddress='212.159.150.43'}, car=Car{color='#428843', carVin='WAUSH78E07A836919', carCompany='Ford', carModel='Mustang', carModelYear='1986', carPrice=51802.38}, location=Location{country='Poland', city='Rudniki'}, date=2020-01-01}
Purchase{id=743, person=Person{firstName='Phebe', lastName='Aubry', email='paubrykm@samsung.com', ipAddress='49.195.241.229'}, car=Car{color='#31b293', carVin='WBA3T7C54F5397595', carCompany='Ford', carModel='Thunderbird', carModelYear='1972', carPrice=48238.70}, location=Location{country='Czech Republic', city='Měřín'}, date=2020-01-28}
Purchase{id=750, person=Person{firstName='Rowena', lastName='Baudins', email='rbaudinskt@twitter.com', ipAddress='234.20.48.161'}, car=Car{color='#5fccf5', carVin='WAUWFBFL9AA874362', carCompany='Ford', carModel='Freestar', carModelYear='2003', carPrice=74898.80}, location=Location{country='Poland', city='Klimontów'}, date=2020-01-30}
Purchase{id=758, person=Person{firstName='Agnes', lastName='Lingfoot', email='alingfootl1@eventbrite.com', ipAddress='34.51.204.59'}, car=Car{color='#4c6a2e', carVin='JM3TB2CA9D0750470', carCompany='Ford', carModel='Laser', carModelYear='1987', carPrice=68546.30}, location=Location{country='Poland', city='Gorzyczki'}, date=2020-05-27}
Purchase{id=761, person=Person{firstName='Ritchie', lastName='D'Elias', email='rdeliasl4@arstechnica.com', ipAddress='169.229.184.145'}, car=Car{color='#f68a48', carVin='1G6DN8EV1A0298018', carCompany='Ford', carModel='Mustang', carModelYear='1979', carPrice=64996.18}, location=Location{country='Czech Republic', city='Velké Meziříčí'}, date=2020-08-15}
Purchase{id=824, person=Person{firstName='Goldia', lastName='Churching', email='gchurchingmv@adobe.com', ipAddress='245.138.53.86'}, car=Car{color='#0a24e7', carVin='WAURV78T99A678833', carCompany='Ford', carModel='F-Series', carModelYear='1995', carPrice=43641.50}, location=Location{country='Czech Republic', city='Lysice'}, date=2020-11-10}
Purchase{id=849, person=Person{firstName='Jocelyne', lastName='Orgel', email='jorgelnk@dropbox.com', ipAddress='212.210.162.216'}, car=Car{color='#aa47e9', carVin='WBA3C3C54FK696689', carCompany='Ford', carModel='Five Hundred', carModelYear='2007', carPrice=63582.71}, location=Location{country='Poland', city='Koło'}, date=2020-09-27}
Purchase{id=857, person=Person{firstName='Marrilee', lastName='Lockett', email='mlockettns@jimdo.com', ipAddress='111.25.31.216'}, car=Car{color='#00c3fd', carVin='1G6DF8EY6B0927037', carCompany='Ford', carModel='Festiva', carModelYear='1990', carPrice=12769.30}, location=Location{country='Poland', city='Żółkiewka'}, date=2020-08-01}
Purchase{id=863, person=Person{firstName='Krista', lastName='Stidworthy', email='kstidworthyny@blogs.com', ipAddress='120.85.58.34'}, car=Car{color='#535dfb', carVin='KMHGC4DE8AU481480', carCompany='Ford', carModel='Tempo', carModelYear='1994', carPrice=26658.03}, location=Location{country='Czech Republic', city='Červená Voda'}, date=2020-02-22}
Purchase{id=868, person=Person{firstName='Tomaso', lastName='Batram', email='tbatramo3@weibo.com', ipAddress='7.178.208.251'}, car=Car{color='#9225f2', carVin='1FMJK1G53AE842351', carCompany='Ford', carModel='Mustang', carModelYear='1984', carPrice=7797.95}, location=Location{country='Poland', city='Trzebieszów'}, date=2020-10-24}
