Purchase{id=16, person=Person{firstName='Wolf', lastName='Couroy', email='wcouroyf@dot.gov', ipAddress='204.180.151.24'}, car=Car{color='#87b060', carVin='WBAAZ33415K216099', carCompany='Toyota', carModel='T100 Xtra', carModelYear='1995', carPrice=83465.10}, location=Location{country='Poland', city='Smolec'}, date=2020-05-27}
Purchase{id=222, person=Person{firstName='Lemar', lastName='Cordes', email='lcordes65@nifty.com', ipAddress='34.120.48.206'}, car=Car{color='#54888a', carVin='3GTU2YEJ8CG745896', carCompany='Toyota', carModel='Land Cruiser', carModelYear='1996', carPrice=75418.19}, location=Location{country='Czech Republic', city='Sokolnice'}, date=2020-08-30}
Purchase{id=233, person=Person{firstName='Ruthanne', lastName='Manion', email='rmanion6g@ask.com', ipAddress='30.95.19.163'}, car=Car{color='#9b7386', carVin='5N1AA0NC4CN776767', carCompany='Toyota', carModel='Tacoma Xtra', carModelYear='1995', carPrice=17711.85}, location=Location{country='Poland', city='Chwaszczyno'}, date=2020-07-16}
Purchase{id=243, person=Person{firstName='Maryanna', lastName='Poyzer', email='mpoyzer6q@mashable.com', ipAddress='153.199.165.20'}, car=Car{color='#b3177d', carVin='3VWF17AT0FM706624', carCompany='Toyota', carModel='Ipsum', carModelYear='2000', carPrice=41036.16}, location=Location{country='Poland', city='Przemków'}, date=2020-10-10}
Purchase{id=244, person=Person{firstName='Danyelle', lastName='Galtone', email='dgaltone6r@jigsy.com', ipAddress='201.182.106.236'}, car=Car{color='#9420b2', carVin='KL4CJESB1EB970869', carCompany='Toyota', carModel='Tacoma Xtra', carModelYear='1997', carPrice=17651.88}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-11-07}
Purchase{id=282, person=Person{firstName='Charity', lastName='Rodway', email='crodway7t@google.ru', ipAddress='164.149.4.199'}, car=Car{color='#ae11ba', carVin='WDCYC3HF8BX263054', carCompany='Toyota', carModel='Celica', carModelYear='2002', carPrice=87073.77}, location=Location{country='Poland', city='Wołczyn'}, date=2020-03-13}
Purchase{id=310, person=Person{firstName='Eadie', lastName='Rainey', email='erainey8l@google.com', ipAddress='93.125.211.222'}, car=Car{color='#20923a', carVin='2HNYD28258H892952', carCompany='Toyota', carModel='Land Cruiser', carModelYear='2003', carPrice=78357.14}, location=Location{country='Czech Republic', city='Želetava'}, date=2020-03-10}
Purchase{id=326, person=Person{firstName='Christina', lastName='Aloway', email='caloway91@wufoo.com', ipAddress='78.250.168.4'}, car=Car{color='#171bde', carVin='1G6DD1E38E0221578', carCompany='Toyota', carModel='Yaris', carModelYear='2008', carPrice=95943.63}, location=Location{country='Czech Republic', city='Týnec'}, date=2020-01-02}
Purchase{id=329, person=Person{firstName='Ilyse', lastName='Sibthorpe', email='isibthorpe94@smh.com.au', ipAddress='127.142.21.80'}, car=Car{color='#5dbb3b', carVin='WBABS53432J176923', carCompany='Toyota', carModel='FJ Cruiser', carModelYear='2010', carPrice=42841.55}, location=Location{country='Poland', city='Stalowa Wola'}, date=2020-08-11}
Purchase{id=345, person=Person{firstName='Tiebout', lastName='Thomazet', email='tthomazet9k@wikispaces.com', ipAddress='10.246.213.211'}, car=Car{color='#66d740', carVin='5N1AA0NCXDN062563', carCompany='Toyota', carModel='RAV4', carModelYear='2009', carPrice=3950.60}, location=Location{country='Poland', city='Czerniewice'}, date=2020-07-02}
Purchase{id=359, person=Person{firstName='Moshe', lastName='Gerretsen', email='mgerretsen9y@twitter.com', ipAddress='63.34.206.123'}, car=Car{color='#118388', carVin='WBAPH7C5XAE402049', carCompany='Toyota', carModel='Corolla', carModelYear='2005', carPrice=93300.93}, location=Location{country='Poland', city='Polkowice'}, date=2020-08-12}
Purchase{id=374, person=Person{firstName='Floyd', lastName='Pigrome', email='fpigromead@guardian.co.uk', ipAddress='3.137.99.181'}, car=Car{color='#f80129', carVin='JH4DC54814S157423', carCompany='Toyota', carModel='Sequoia', carModelYear='2010', carPrice=13785.83}, location=Location{country='Poland', city='Stanisław Górny'}, date=2020-10-31}
Purchase{id=390, person=Person{firstName='Nonnah', lastName='Bage', email='nbageat@seesaa.net', ipAddress='142.86.133.63'}, car=Car{color='#1c3c00', carVin='WVWAP7AN2EE407945', carCompany='Toyota', carModel='Camry', carModelYear='2011', carPrice=73846.22}, location=Location{country='Czech Republic', city='Bechyně'}, date=2020-09-14}
Purchase{id=409, person=Person{firstName='Lin', lastName='Keesman', email='lkeesmanbc@discuz.net', ipAddress='13.155.233.71'}, car=Car{color='#fc4291', carVin='1G4HP54K83U176794', carCompany='Toyota', carModel='Sienna', carModelYear='1999', carPrice=68263.57}, location=Location{country='Germany', city='Düsseldorf'}, date=2020-01-01}
Purchase{id=413, person=Person{firstName='Emlynn', lastName='Bickers', email='ebickersbg@ibm.com', ipAddress='253.187.239.255'}, car=Car{color='#fd14b2', carVin='WBANV13538C193630', carCompany='Toyota', carModel='Matrix', carModelYear='2008', carPrice=66666.84}, location=Location{country='Czech Republic', city='Buštěhrad'}, date=2020-07-16}
Purchase{id=415, person=Person{firstName='Boris', lastName='Kenneway', email='bkennewaybi@house.gov', ipAddress='107.8.184.2'}, car=Car{color='#c6ddb7', carVin='2G4WC582961391520', carCompany='Toyota', carModel='Echo', carModelYear='2004', carPrice=57053.25}, location=Location{country='Poland', city='Rogóźno'}, date=2020-03-13}
Purchase{id=417, person=Person{firstName='Tania', lastName='Izhaky', email='tizhakybk@upenn.edu', ipAddress='146.214.165.47'}, car=Car{color='#87f3c3', carVin='3D7TT2CT0BG620180', carCompany='Toyota', carModel='Highlander', carModelYear='2001', carPrice=70370.83}, location=Location{country='Poland', city='Ożarowice'}, date=2020-09-21}
Purchase{id=452, person=Person{firstName='Josepha', lastName='Chartre', email='jchartrecj@google.de', ipAddress='150.220.138.110'}, car=Car{color='#538b3d', carVin='WAUCH74F89N000497', carCompany='Toyota', carModel='MR2', carModelYear='2001', carPrice=46421.38}, location=Location{country='Czech Republic', city='Moravský Beroun'}, date=2020-08-29}
Purchase{id=488, person=Person{firstName='Hollyanne', lastName='Smorfit', email='hsmorfitdj@hatena.ne.jp', ipAddress='163.248.199.68'}, car=Car{color='#7c4bdb', carVin='JM1CW2BL2E0937616', carCompany='Toyota', carModel='Supra', carModelYear='1992', carPrice=8892.98}, location=Location{country='Czech Republic', city='Štěchovice'}, date=2020-06-11}
Purchase{id=509, person=Person{firstName='Thoma', lastName='Benedidick', email='tbenedidicke4@a8.net', ipAddress='177.69.83.120'}, car=Car{color='#2a8897', carVin='1FMCU4K34CK742581', carCompany='Toyota', carModel='4Runner', carModelYear='2012', carPrice=59534.29}, location=Location{country='Poland', city='Śródmieście'}, date=2020-02-12}
Purchase{id=546, person=Person{firstName='Christen', lastName='Koeppe', email='ckoeppef5@slashdot.org', ipAddress='58.25.235.162'}, car=Car{color='#48749a', carVin='SCFEBBAK6CG505159', carCompany='Toyota', carModel='RAV4', carModelYear='2002', carPrice=43748.05}, location=Location{country='Czech Republic', city='Velké Losiny'}, date=2020-11-13}
Purchase{id=557, person=Person{firstName='Lolly', lastName='Waadenburg', email='lwaadenburgfg@nymag.com', ipAddress='61.50.110.80'}, car=Car{color='#10eaf3', carVin='3VW8S7AT0FM916890', carCompany='Toyota', carModel='Tacoma', carModelYear='2000', carPrice=9305.26}, location=Location{country='Czech Republic', city='Dobříš'}, date=2020-11-26}
Purchase{id=566, person=Person{firstName='Edmon', lastName='Brennon', email='ebrennonfp@auda.org.au', ipAddress='181.101.27.121'}, car=Car{color='#fc8cc5', carVin='5UXFA53502L717428', carCompany='Toyota', carModel='Corolla', carModelYear='1999', carPrice=69632.55}, location=Location{country='Germany', city='Wiesbaden'}, date=2020-09-04}
Purchase{id=569, person=Person{firstName='Corilla', lastName='Bigmore', email='cbigmorefs@free.fr', ipAddress='162.5.54.22'}, car=Car{color='#bb2689', carVin='WBA3B9G5XEN164490', carCompany='Toyota', carModel='Solara', carModelYear='2004', carPrice=76247.84}, location=Location{country='Czech Republic', city='Ždánice'}, date=2020-05-10}
Purchase{id=641, person=Person{firstName='Florenza', lastName='Mitton', email='fmittonhs@europa.eu', ipAddress='206.22.154.208'}, car=Car{color='#f46ba9', carVin='KMHTC6ADXCU518571', carCompany='Toyota', carModel='Land Cruiser', carModelYear='2000', carPrice=98423.50}, location=Location{country='Czech Republic', city='Štěnovice'}, date=2020-01-21}
Purchase{id=688, person=Person{firstName='Desmond', lastName='Silcock', email='dsilcockj3@amazon.de', ipAddress='122.30.242.133'}, car=Car{color='#10a5e4', carVin='2C3CCAJGXEH687937', carCompany='Toyota', carModel='Land Cruiser', carModelYear='2001', carPrice=3437.42}, location=Location{country='Poland', city='Zagórze'}, date=2020-05-15}
Purchase{id=701, person=Person{firstName='Tiffany', lastName='Chiene', email='tchienejg@hubpages.com', ipAddress='128.192.42.90'}, car=Car{color='#07e6d9', carVin='WA1DGAFE8FD270367', carCompany='Toyota', carModel='Tacoma Xtra', carModelYear='2003', carPrice=30131.86}, location=Location{country='Poland', city='Parczew'}, date=2020-01-12}
Purchase{id=738, person=Person{firstName='Adolphus', lastName='Artindale', email='aartindalekh@businesswire.com', ipAddress='43.232.241.99'}, car=Car{color='#912d77', carVin='3C63DRJL2CG659266', carCompany='Toyota', carModel='TundraMax', carModelYear='2008', carPrice=21198.48}, location=Location{country='Poland', city='Piastów'}, date=2020-06-16}
Purchase{id=764, person=Person{firstName='Nealon', lastName='Mewhirter', email='nmewhirterl7@amazon.co.jp', ipAddress='102.107.68.203'}, car=Car{color='#72a09a', carVin='1ZVBP8JS1A5304443', carCompany='Toyota', carModel='4Runner', carModelYear='2002', carPrice=70872.84}, location=Location{country='Czech Republic', city='Všeruby'}, date=2020-04-12}
Purchase{id=769, person=Person{firstName='Herby', lastName='Kidwell', email='hkidwelllc@prweb.com', ipAddress='147.253.32.231'}, car=Car{color='#b24a81', carVin='WBAAV33411F763601', carCompany='Toyota', carModel='Corolla', carModelYear='2005', carPrice=74715.53}, location=Location{country='Poland', city='Mrągowo'}, date=2020-08-01}
Purchase{id=774, person=Person{firstName='Ninetta', lastName='Sole', email='nsolelh@mysql.com', ipAddress='80.93.165.125'}, car=Car{color='#688fdc', carVin='1G6AM5SX7E0984774', carCompany='Toyota', carModel='Sequoia', carModelYear='2008', carPrice=46742.90}, location=Location{country='Poland', city='Brok'}, date=2020-09-29}
Purchase{id=788, person=Person{firstName='Andriana', lastName='Ox', email='aoxlv@google.de', ipAddress='114.57.19.190'}, car=Car{color='#91ba46', carVin='WDDHF5GB4AA749620', carCompany='Toyota', carModel='Prius', carModelYear='2007', carPrice=85887.26}, location=Location{country='Czech Republic', city='Horní Bečva'}, date=2020-11-01}
Purchase{id=794, person=Person{firstName='Leena', lastName='Davitti', email='ldavittim1@typepad.com', ipAddress='32.214.186.244'}, car=Car{color='#0ea6be', carVin='WBAYF8C50ED780859', carCompany='Toyota', carModel='Prius', carModelYear='2002', carPrice=64093.23}, location=Location{country='Czech Republic', city='Jaroměř'}, date=2020-12-02}
Purchase{id=799, person=Person{firstName='Rayshell', lastName='Macklam', email='rmacklamm6@canalblog.com', ipAddress='58.131.18.96'}, car=Car{color='#3efd14', carVin='WDDLJ6FB3FA174806', carCompany='Toyota', carModel='Camry', carModelYear='2004', carPrice=93120.77}, location=Location{country='Poland', city='Kobiernice'}, date=2020-10-10}
Purchase{id=847, person=Person{firstName='Yule', lastName='Huggin', email='yhugginni@amazonaws.com', ipAddress='121.73.61.74'}, car=Car{color='#1bb37d', carVin='WBALZ5C53CC442908', carCompany='Toyota', carModel='Tundra', carModelYear='2004', carPrice=10592.64}, location=Location{country='Poland', city='Wałcz'}, date=2020-09-09}
Purchase{id=909, person=Person{firstName='Rheta', lastName='Dorber', email='rdorberp8@bing.com', ipAddress='177.162.38.1'}, car=Car{color='#dbb349', carVin='5TDBW5G13DS164073', carCompany='Toyota', carModel='Avalon', carModelYear='2009', carPrice=61601.91}, location=Location{country='Czech Republic', city='Horní Čermná'}, date=2020-03-31}
Purchase{id=917, person=Person{firstName='Catharina', lastName='Muzzillo', email='cmuzzillopg@furl.net', ipAddress='118.117.250.220'}, car=Car{color='#eac125', carVin='WP0AB2A9XFS778407', carCompany='Toyota', carModel='Tacoma', carModelYear='2009', carPrice=82909.59}, location=Location{country='Poland', city='Stubno'}, date=2020-05-23}
Purchase{id=921, person=Person{firstName='Janey', lastName='Stell', email='jstellpk@shareasale.com', ipAddress='154.3.35.248'}, car=Car{color='#9e3ae4', carVin='JTHBK1EG1B2777114', carCompany='Toyota', carModel='Celica', carModelYear='1995', carPrice=28857.08}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-09-20}
Purchase{id=939, person=Person{firstName='Reinald', lastName='Burroughes', email='rburroughesq2@ycombinator.com', ipAddress='56.91.145.80'}, car=Car{color='#164546', carVin='WP0AA2A99FS949005', carCompany='Toyota', carModel='T100', carModelYear='1996', carPrice=83019.17}, location=Location{country='Poland', city='Miętne'}, date=2020-03-01}
Purchase{id=988, person=Person{firstName='Devon', lastName='Hayter', email='dhayterrf@ca.gov', ipAddress='119.16.7.244'}, car=Car{color='#ae4c1c', carVin='KNAGM4AD6B5126166', carCompany='Toyota', carModel='Land Cruiser', carModelYear='2008', carPrice=44841.20}, location=Location{country='Poland', city='Besko'}, date=2020-10-21}
