Purchase{id=1, person=Person{firstName='Marsh', lastName='Polon', email='mpolon0@google.de', ipAddress='155.43.28.214'}, car=Car{color='#255a97', carVin='3D7TT2HT8BG370793', carCompany='Chevrolet', carModel='Cobalt', carModelYear='2006', carPrice=67487.58}, location=Location{country='Czech Republic', city='Bořetice'}, date=2020-09-03}
Purchase{id=136, person=Person{firstName='Seamus', lastName='Biggs', email='sbiggs3r@mashable.com', ipAddress='58.40.39.44'}, car=Car{color='#58468d', carVin='1G6AB5RX5E0918865', carCompany='Chevrolet', carModel='Sportvan G20', carModelYear='1994', carPrice=46420.20}, location=Location{country='Czech Republic', city='Horní Jiřetín'}, date=2020-11-21}
Purchase{id=143, person=Person{firstName='Amelia', lastName='Dyte', email='adyte3y@wikipedia.org', ipAddress='204.250.32.207'}, car=Car{color='#787778', carVin='WBAGN83594D174618', carCompany='Chevrolet', carModel='Cobalt SS', carModelYear='2009', carPrice=68941.55}, location=Location{country='Czech Republic', city='Horní Bečva'}, date=2020-09-19}
Purchase{id=148, person=Person{firstName='Kippy', lastName='Baison', email='kbaison43@theguardian.com', ipAddress='152.164.125.93'}, car=Car{color='#07cdbf', carVin='WAUDGAFL8DA387642', carCompany='Chevrolet', carModel='TrailBlazer', carModelYear='2006', carPrice=25082.65}, location=Location{country='Poland', city='Lachowice'}, date=2020-10-04}
Purchase{id=167, person=Person{firstName='Carling', lastName='Laxon', email='claxon4m@yolasite.com', ipAddress='101.10.168.108'}, car=Car{color='#89030e', carVin='3D7TP2CTXBG248870', carCompany='Chevrolet', carModel='Silverado 2500', carModelYear='2012', carPrice=71122.19}, location=Location{country='Poland', city='Bolszewo'}, date=2020-10-23}
Purchase{id=168, person=Person{firstName='Noni', lastName='Gilfillan', email='ngilfillan4n@wikipedia.org', ipAddress='186.166.113.117'}, car=Car{color='#54040b', carVin='1GYS3JEF0ER386466', carCompany='Chevrolet', carModel='3500', carModelYear='1996', carPrice=80037.02}, location=Location{country='Poland', city='Pułtusk'}, date=2020-03-05}
Purchase{id=169, person=Person{firstName='Phillip', lastName='Rahill', email='prahill4o@boston.com', ipAddress='76.123.91.72'}, car=Car{color='#2b2e8e', carVin='SCBGT3ZAXFC959466', carCompany='Chevrolet', carModel='Metro', carModelYear='1998', carPrice=83510.21}, location=Location{country='Czech Republic', city='Radiměř'}, date=2020-04-28}
Purchase{id=173, person=Person{firstName='Jerrold', lastName='Charlwood', email='jcharlwood4s@imageshack.us', ipAddress='223.31.133.65'}, car=Car{color='#5c76f8', carVin='WBAKB4C59CC223882', carCompany='Chevrolet', carModel='Colorado', carModelYear='2004', carPrice=33419.80}, location=Location{country='Poland', city='Trzebinia'}, date=2020-01-13}
Purchase{id=194, person=Person{firstName='Noelle', lastName='Wealleans', email='nwealleans5d@nyu.edu', ipAddress='139.67.205.67'}, car=Car{color='#f2c037', carVin='JTHBE1D25E5400964', carCompany='Chevrolet', carModel='Suburban 2500', carModelYear='2002', carPrice=63010.50}, location=Location{country='Czech Republic', city='Třemošnice'}, date=2020-03-11}
Purchase{id=221, person=Person{firstName='Alfy', lastName='Hardway', email='ahardway64@sun.com', ipAddress='143.233.204.250'}, car=Car{color='#835653', carVin='WBADS334X2G744269', carCompany='Chevrolet', carModel='Lumina', carModelYear='1997', carPrice=13464.81}, location=Location{country='Poland', city='Stoczek'}, date=2020-11-12}
Purchase{id=223, person=Person{firstName='Gennifer', lastName='Zamorrano', email='gzamorrano66@goodreads.com', ipAddress='156.200.202.107'}, car=Car{color='#9a00da', carVin='5GAKVDKD2DJ102838', carCompany='Chevrolet', carModel='HHR', carModelYear='2009', carPrice=51293.94}, location=Location{country='Poland', city='Chociwel'}, date=2020-09-15}
Purchase{id=225, person=Person{firstName='Kerri', lastName='Van Dale', email='kvandale68@seattletimes.com', ipAddress='211.39.22.253'}, car=Car{color='#6ffb45', carVin='1ZVBP8AMXD5066288', carCompany='Chevrolet', carModel='Sportvan G30', carModelYear='1995', carPrice=94826.17}, location=Location{country='Poland', city='Podgórzyn'}, date=2020-05-01}
Purchase{id=249, person=Person{firstName='Jolynn', lastName='Idney', email='jidney6w@amazon.com', ipAddress='199.37.238.207'}, car=Car{color='#b13116', carVin='4USBT33584L352055', carCompany='Chevrolet', carModel='SSR', carModelYear='2005', carPrice=47507.31}, location=Location{country='Poland', city='Krzyżowice'}, date=2020-03-14}
Purchase{id=274, person=Person{firstName='Glenn', lastName='Tulleth', email='gtulleth7l@businesswire.com', ipAddress='167.109.68.113'}, car=Car{color='#e53bed', carVin='5UXFE43527L092388', carCompany='Chevrolet', carModel='Monte Carlo', carModelYear='1999', carPrice=66959.46}, location=Location{country='Czech Republic', city='Malé Svatoňovice'}, date=2020-03-05}
Purchase{id=279, person=Person{firstName='Hendrika', lastName='Conor', email='hconor7q@tiny.cc', ipAddress='226.249.244.229'}, car=Car{color='#96f25a', carVin='1C4NJCBA6FD625241', carCompany='Chevrolet', carModel='Express 1500', carModelYear='2008', carPrice=21450.41}, location=Location{country='Poland', city='Wiązownica'}, date=2020-04-03}
Purchase{id=302, person=Person{firstName='Kaitlin', lastName='Ruvel', email='kruvel8d@simplemachines.org', ipAddress='127.164.161.255'}, car=Car{color='#3be382', carVin='1N4AA5APXAC070850', carCompany='Chevrolet', carModel='Express', carModelYear='2011', carPrice=74983.39}, location=Location{country='Czech Republic', city='Jarošov nad Nežárkou'}, date=2020-02-01}
Purchase{id=313, person=Person{firstName='Hollyanne', lastName='Ortas', email='hortas8o@cbc.ca', ipAddress='117.118.99.201'}, car=Car{color='#007fd1', carVin='1FTEW1CM6CK966710', carCompany='Chevrolet', carModel='Caprice', carModelYear='1996', carPrice=14814.13}, location=Location{country='Poland', city='Bęczarka'}, date=2020-11-09}
Purchase{id=316, person=Person{firstName='Tally', lastName='Creenan', email='tcreenan8r@admin.ch', ipAddress='134.149.232.31'}, car=Car{color='#acc81d', carVin='5UMBT93516L329708', carCompany='Chevrolet', carModel='1500', carModelYear='1998', carPrice=50346.10}, location=Location{country='Czech Republic', city='Mladá Boleslav'}, date=2020-12-16}
Purchase{id=323, person=Person{firstName='Salomo', lastName='Mackinder', email='smackinder8y@infoseek.co.jp', ipAddress='255.230.174.186'}, car=Car{color='#449ac9', carVin='5J6TF3H59FL278149', carCompany='Chevrolet', carModel='Venture', carModelYear='1999', carPrice=61806.78}, location=Location{country='Poland', city='Dziewin'}, date=2020-03-04}
Purchase{id=347, person=Person{firstName='Dotty', lastName='Cheltnam', email='dcheltnam9m@npr.org', ipAddress='102.181.3.193'}, car=Car{color='#04f824', carVin='WBA4A7C55FD680278', carCompany='Chevrolet', carModel='Suburban 2500', carModelYear='1996', carPrice=47863.67}, location=Location{country='Czech Republic', city='Moravský Beroun'}, date=2020-07-25}
Purchase{id=366, person=Person{firstName='Harmonie', lastName='Castle', email='hcastlea5@yellowpages.com', ipAddress='167.68.50.20'}, car=Car{color='#a31070', carVin='1GYFC13279R074796', carCompany='Chevrolet', carModel='Cavalier', carModelYear='2002', carPrice=68453.30}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-01-03}
Purchase{id=368, person=Person{firstName='Darda', lastName='Lanfear', email='dlanfeara7@ft.com', ipAddress='142.173.37.70'}, car=Car{color='#ee138b', carVin='1G6KE57Y04U346618', carCompany='Chevrolet', carModel='Express 3500', carModelYear='2010', carPrice=33200.38}, location=Location{country='Poland', city='Złotniki'}, date=2020-02-08}
Purchase{id=377, person=Person{firstName='Ashley', lastName='Earlam', email='aearlamag@pen.io', ipAddress='154.210.76.235'}, car=Car{color='#fc205c', carVin='WAUHF78P68A423342', carCompany='Chevrolet', carModel='Silverado 2500', carModelYear='2002', carPrice=84876.00}, location=Location{country='Poland', city='Raszków'}, date=2020-02-19}
Purchase{id=388, person=Person{firstName='Mia', lastName='Lanchberry', email='mlanchberryar@ask.com', ipAddress='250.23.107.131'}, car=Car{color='#f99f7b', carVin='1N4AL3AP7EC400058', carCompany='Chevrolet', carModel='Caprice Classic', carModelYear='1993', carPrice=73905.56}, location=Location{country='Poland', city='Stepnica'}, date=2020-06-29}
Purchase{id=401, person=Person{firstName='Christoper', lastName='Challenor', email='cchallenorb4@google.com.hk', ipAddress='224.9.236.118'}, car=Car{color='#fea3cf', carVin='WAUAF78E06A817688', carCompany='Chevrolet', carModel='Corvette', carModelYear='1955', carPrice=66243.08}, location=Location{country='Poland', city='Budzów'}, date=2020-10-14}
Purchase{id=404, person=Person{firstName='Aeriela', lastName='Jolliss', email='ajollissb7@slashdot.org', ipAddress='62.217.117.178'}, car=Car{color='#28d4e1', carVin='1FMJK1F57BE843117', carCompany='Chevrolet', carModel='Avalanche 1500', carModelYear='2004', carPrice=48710.40}, location=Location{country='Poland', city='Łukowa'}, date=2020-07-31}
Purchase{id=412, person=Person{firstName='Ally', lastName='Burnes', email='aburnesbf@youku.com', ipAddress='169.133.18.14'}, car=Car{color='#ebc8fa', carVin='3VWKP7AJ4EM226869', carCompany='Chevrolet', carModel='Corvette', carModelYear='1963', carPrice=50694.76}, location=Location{country='Poland', city='Repki'}, date=2020-08-28}
Purchase{id=457, person=Person{firstName='Lindsy', lastName='Labet', email='llabetco@artisteer.com', ipAddress='6.65.13.204'}, car=Car{color='#8ba388', carVin='JM3KE2BE8F0512779', carCompany='Chevrolet', carModel='Express 2500', carModelYear='2007', carPrice=45482.16}, location=Location{country='Poland', city='Rajsko'}, date=2020-11-03}
Purchase{id=458, person=Person{firstName='Thaxter', lastName='Steptoe', email='tsteptoecp@artisteer.com', ipAddress='28.145.58.105'}, car=Car{color='#c0b967', carVin='WBSBR934X6P393547', carCompany='Chevrolet', carModel='S10', carModelYear='2003', carPrice=72424.96}, location=Location{country='Poland', city='Miechów Charsznica'}, date=2020-01-27}
Purchase{id=483, person=Person{firstName='Beale', lastName='Kynder', email='bkynderde@cmu.edu', ipAddress='85.61.28.12'}, car=Car{color='#0ccaeb', carVin='3LN6L2LUXDR081778', carCompany='Chevrolet', carModel='HHR', carModelYear='2009', carPrice=38398.33}, location=Location{country='Czech Republic', city='Karlovy Vary'}, date=2020-06-11}
Purchase{id=508, person=Person{firstName='Ewen', lastName='Tassel', email='etassele3@upenn.edu', ipAddress='144.167.100.7'}, car=Car{color='#d9d24b', carVin='JH4DB75621S337288', carCompany='Chevrolet', carModel='Corvette', carModelYear='1987', carPrice=12596.16}, location=Location{country='Poland', city='Obryte'}, date=2020-10-26}
Purchase{id=511, person=Person{firstName='Tobias', lastName='Learned', email='tlearnede6@howstuffworks.com', ipAddress='235.31.99.104'}, car=Car{color='#616fdb', carVin='WBA3A5C56FF332929', carCompany='Chevrolet', carModel='Suburban 1500', carModelYear='2011', carPrice=65723.19}, location=Location{country='Germany', city='Berlin'}, date=2020-03-18}
Purchase{id=514, person=Person{firstName='Margret', lastName='Moxstead', email='mmoxsteade9@dagondesign.com', ipAddress='85.186.71.79'}, car=Car{color='#3f7706', carVin='1G6D25ED2B0888230', carCompany='Chevrolet', carModel='2500', carModelYear='1995', carPrice=10626.82}, location=Location{country='Poland', city='Pyskowice'}, date=2020-05-05}
Purchase{id=515, person=Person{firstName='Keslie', lastName='MacHoste', email='kmachosteea@skype.com', ipAddress='57.142.38.164'}, car=Car{color='#5a21ad', carVin='1G4HR54K65U620428', carCompany='Chevrolet', carModel='G-Series G10', carModelYear='1993', carPrice=89302.75}, location=Location{country='Poland', city='Krzyżanowice'}, date=2020-04-13}
Purchase{id=556, person=Person{firstName='Pam', lastName='O Mullen', email='pomullenff@forbes.com', ipAddress='155.132.250.101'}, car=Car{color='#d4a7c5', carVin='SALFP2BN7AH202646', carCompany='Chevrolet', carModel='Express 3500', carModelYear='2003', carPrice=68251.53}, location=Location{country='Germany', city='München'}, date=2020-11-30}
Purchase{id=583, person=Person{firstName='Jasun', lastName='Bonifazio', email='jbonifaziog6@sphinn.com', ipAddress='146.65.47.44'}, car=Car{color='#db706c', carVin='KL4CJFSB1FB385085', carCompany='Chevrolet', carModel='Sportvan G30', carModelYear='1995', carPrice=68095.63}, location=Location{country='Czech Republic', city='Studená'}, date=2020-12-13}
Purchase{id=591, person=Person{firstName='Kristina', lastName='Issard', email='kissardge@desdev.cn', ipAddress='80.111.98.192'}, car=Car{color='#4342eb', carVin='3LN6L2G92DR496597', carCompany='Chevrolet', carModel='Silverado 2500', carModelYear='2003', carPrice=72526.32}, location=Location{country='Poland', city='Bujaków'}, date=2020-12-13}
Purchase{id=594, person=Person{firstName='Thorndike', lastName='Trime', email='ttrimegh@360.cn', ipAddress='113.224.77.1'}, car=Car{color='#c15345', carVin='3D73M3CL6AG095899', carCompany='Chevrolet', carModel='HHR', carModelYear='2008', carPrice=5298.14}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-10-31}
Purchase{id=605, person=Person{firstName='Trudy', lastName='Spileman', email='tspilemangs@intel.com', ipAddress='148.13.200.73'}, car=Car{color='#05ec4f', carVin='3D4PH5FV3AT019091', carCompany='Chevrolet', carModel='1500', carModelYear='1993', carPrice=60357.78}, location=Location{country='Czech Republic', city='Toužim'}, date=2020-09-26}
Purchase{id=631, person=Person{firstName='Meghan', lastName='Blethin', email='mblethinhi@etsy.com', ipAddress='254.104.196.107'}, car=Car{color='#fd9a0b', carVin='SCBZK25E01C747487', carCompany='Chevrolet', carModel='Express 3500', carModelYear='2009', carPrice=81029.37}, location=Location{country='Czech Republic', city='Litvínovice'}, date=2020-01-09}
Purchase{id=637, person=Person{firstName='Leicester', lastName='Gamlyn', email='lgamlynho@twitter.com', ipAddress='42.47.239.199'}, car=Car{color='#e0cd9d', carVin='WBAVB73537P799707', carCompany='Chevrolet', carModel='Aveo', carModelYear='2007', carPrice=54181.97}, location=Location{country='Czech Republic', city='Tvrdonice'}, date=2020-09-06}
Purchase{id=666, person=Person{firstName='Bill', lastName='MacGragh', email='bmacgraghih@moonfruit.com', ipAddress='206.9.59.250'}, car=Car{color='#f23129', carVin='1FTEW1E83AF389916', carCompany='Chevrolet', carModel='Corvette', carModelYear='1965', carPrice=51423.85}, location=Location{country='Poland', city='Limanowa'}, date=2020-02-29}
Purchase{id=686, person=Person{firstName='Merrill', lastName='Kobel', email='mkobelj1@ft.com', ipAddress='205.169.132.181'}, car=Car{color='#2d2f9c', carVin='JN8AE2KP2B9252931', carCompany='Chevrolet', carModel='Corvette', carModelYear='1966', carPrice=8905.37}, location=Location{country='Germany', city='Lübeck'}, date=2020-03-18}
Purchase{id=692, person=Person{firstName='Frances', lastName='Cham', email='fchamj7@i2i.jp', ipAddress='40.14.255.14'}, car=Car{color='#51b04b', carVin='1FTEW1E80AF435217', carCompany='Chevrolet', carModel='G-Series G20', carModelYear='1993', carPrice=56306.72}, location=Location{country='Poland', city='Haczów'}, date=2020-11-17}
Purchase{id=697, person=Person{firstName='Rodd', lastName='Tomlins', email='rtomlinsjc@exblog.jp', ipAddress='41.102.79.103'}, car=Car{color='#975171', carVin='WBAWR33578P429371', carCompany='Chevrolet', carModel='Lumina', carModelYear='1993', carPrice=67013.15}, location=Location{country='Poland', city='Domaradz'}, date=2020-06-07}
Purchase{id=706, person=Person{firstName='Ado', lastName='Caldero', email='acalderojl@zdnet.com', ipAddress='67.10.140.164'}, car=Car{color='#e1eb7d', carVin='19UUA76698A878388', carCompany='Chevrolet', carModel='Silverado 3500', carModelYear='2003', carPrice=40912.28}, location=Location{country='Germany', city='Köln'}, date=2020-03-31}
Purchase{id=739, person=Person{firstName='Zonnya', lastName='Rivelin', email='zrivelinki@mayoclinic.com', ipAddress='182.160.245.142'}, car=Car{color='#79edb3', carVin='2T1BU4EE9BC690123', carCompany='Chevrolet', carModel='G-Series G20', carModelYear='1994', carPrice=39825.36}, location=Location{country='Poland', city='Strachówka'}, date=2020-05-23}
Purchase{id=772, person=Person{firstName='Doll', lastName='Bagge', email='dbaggelf@studiopress.com', ipAddress='3.148.90.191'}, car=Car{color='#09e3aa', carVin='WBAYA6C53FD599274', carCompany='Chevrolet', carModel='Tracker', carModelYear='2000', carPrice=72207.02}, location=Location{country='Poland', city='Maniowy'}, date=2020-02-12}
Purchase{id=779, person=Person{firstName='Prentiss', lastName='Aish', email='paishlm@chronoengine.com', ipAddress='4.15.170.152'}, car=Car{color='#d3845c', carVin='YV4952BZ2E1701993', carCompany='Chevrolet', carModel='Cavalier', carModelYear='1996', carPrice=72928.00}, location=Location{country='Poland', city='Markowa'}, date=2020-02-07}
Purchase{id=782, person=Person{firstName='Kaila', lastName='Grimes', email='kgrimeslp@etsy.com', ipAddress='117.134.130.196'}, car=Car{color='#da7b08', carVin='2C3CCARGXDH605370', carCompany='Chevrolet', carModel='Impala', carModelYear='1996', carPrice=3950.11}, location=Location{country='Poland', city='Piła'}, date=2020-05-18}
Purchase{id=801, person=Person{firstName='Danell', lastName='Johansson', email='djohanssonm8@linkedin.com', ipAddress='244.165.247.121'}, car=Car{color='#ea29a7', carVin='1LNHL9DK7DG525169', carCompany='Chevrolet', carModel='Camaro', carModelYear='1999', carPrice=69624.54}, location=Location{country='Czech Republic', city='Břeclav'}, date=2020-07-09}
Purchase{id=807, person=Person{firstName='Guy', lastName='Yellowlea', email='gyellowleame@sun.com', ipAddress='94.116.159.245'}, car=Car{color='#a8ca5f', carVin='WAUEH64B31N946110', carCompany='Chevrolet', carModel='Corvette', carModelYear='1992', carPrice=23899.56}, location=Location{country='Poland', city='Wrocław'}, date=2020-07-06}
Purchase{id=826, person=Person{firstName='Melodie', lastName='Sweetland', email='msweetlandmx@google.com.au', ipAddress='42.222.63.231'}, car=Car{color='#c8675e', carVin='3VW467AT2CM696599', carCompany='Chevrolet', carModel='Metro', carModelYear='1998', carPrice=87282.09}, location=Location{country='Czech Republic', city='Bošovice'}, date=2020-06-12}
Purchase{id=829, person=Person{firstName='Osbourn', lastName='Bickerton', email='obickertonn0@storify.com', ipAddress='115.252.66.219'}, car=Car{color='#b6f65c', carVin='1C4RDJEG8EC836037', carCompany='Chevrolet', carModel='Avalanche 1500', carModelYear='2005', carPrice=50872.19}, location=Location{country='Poland', city='Ręczno'}, date=2020-09-24}
Purchase{id=845, person=Person{firstName='Josias', lastName='Tidbald', email='jtidbaldng@apache.org', ipAddress='254.243.8.126'}, car=Car{color='#d88fc9', carVin='WAUDFAFL8EN511227', carCompany='Chevrolet', carModel='G-Series G20', carModelYear='1994', carPrice=69481.30}, location=Location{country='Poland', city='Sośnicowice'}, date=2020-02-29}
Purchase{id=860, person=Person{firstName='Tull', lastName='Conlaund', email='tconlaundnv@bigcartel.com', ipAddress='250.168.201.88'}, car=Car{color='#3dca1c', carVin='WAUJFAFH1CN181751', carCompany='Chevrolet', carModel='2500', carModelYear='1999', carPrice=63204.36}, location=Location{country='Poland', city='Krzanowice'}, date=2020-07-16}
Purchase{id=899, person=Person{firstName='Emilee', lastName='Mainland', email='emainlandoy@opera.com', ipAddress='79.111.208.222'}, car=Car{color='#5afe30', carVin='JN8AS5MTXBW467768', carCompany='Chevrolet', carModel='Caprice', carModelYear='1995', carPrice=12198.77}, location=Location{country='Poland', city='Solec Nad Wisłą'}, date=2020-03-14}
Purchase{id=915, person=Person{firstName='Dominique', lastName='Edbrooke', email='dedbrookepe@shinystat.com', ipAddress='72.117.124.89'}, car=Car{color='#7e6e3f', carVin='1FMNE1BW8AD691862', carCompany='Chevrolet', carModel='TrailBlazer', carModelYear='2003', carPrice=63109.55}, location=Location{country='Czech Republic', city='Bohumín'}, date=2020-11-16}
Purchase{id=925, person=Person{firstName='Raimund', lastName='Blackburn', email='rblackburnpo@friendfeed.com', ipAddress='33.31.188.227'}, car=Car{color='#776095', carVin='JN8AZ1MU0AW797642', carCompany='Chevrolet', carModel='Suburban 2500', carModelYear='2008', carPrice=10384.44}, location=Location{country='Poland', city='Szczawnica'}, date=2020-02-25}
Purchase{id=928, person=Person{firstName='Hester', lastName='O'Lenechan', email='holenechanpr@etsy.com', ipAddress='208.29.140.44'}, car=Car{color='#e10c2b', carVin='1D4PT6GX8AW814748', carCompany='Chevrolet', carModel='Sportvan G30', carModelYear='1996', carPrice=45593.86}, location=Location{country='Poland', city='Sonina'}, date=2020-09-12}
Purchase{id=930, person=Person{firstName='Alejoa', lastName='Sanpere', email='asanperept@apache.org', ipAddress='251.168.55.148'}, car=Car{color='#a2f3e3', carVin='KL4CJASB5FB830947', carCompany='Chevrolet', carModel='Express 3500', carModelYear='1997', carPrice=48368.72}, location=Location{country='Germany', city='Wuppertal'}, date=2020-09-29}
Purchase{id=960, person=Person{firstName='Jaquelin', lastName='Jzhakov', email='jjzhakovqn@de.vu', ipAddress='16.4.77.174'}, car=Car{color='#7b3bae', carVin='1G4GE5G39FF134469', carCompany='Chevrolet', carModel='Colorado', carModelYear='2010', carPrice=35879.16}, location=Location{country='Poland', city='Trzebinia'}, date=2020-01-18}
Purchase{id=963, person=Person{firstName='Alley', lastName='Sex', email='asexqq@japanpost.jp', ipAddress='112.196.26.25'}, car=Car{color='#d76660', carVin='1N4AB7AP0DN891280', carCompany='Chevrolet', carModel='Corvette', carModelYear='2011', carPrice=7848.14}, location=Location{country='Poland', city='Truskolasy'}, date=2020-04-09}
Purchase{id=977, person=Person{firstName='Jobyna', lastName='Hadfield', email='jhadfieldr4@spiegel.de', ipAddress='187.130.89.230'}, car=Car{color='#f8bdb5', carVin='KNAFX6A85F5800881', carCompany='Chevrolet', carModel='Cavalier', carModelYear='1995', carPrice=12888.87}, location=Location{country='Poland', city='Czerniejewo'}, date=2020-11-07}
