Purchase{id=41, person=Person{firstName='Queenie', lastName='Vial', email='qvial14@multiply.com', ipAddress='201.11.195.220'}, car=Car{color='#e8facb', carVin='WAUCFAFH8BN695474', carCompany='GMC', carModel='Suburban 1500', carModelYear='1993', carPrice=31746.21}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-09-06}
Purchase{id=592, person=Person{firstName='Lewes', lastName='Tyght', email='ltyghtgf@cnet.com', ipAddress='16.40.31.102'}, car=Car{color='#b9ddee', carVin='1N6AF0KXXEN623632', carCompany='GMC', carModel='Savana 3500', carModelYear='2005', carPrice=11530.76}, location=Location{country='Poland', city='Koszarawa'}, date=2020-04-22}
Purchase{id=604, person=Person{firstName='Gabriela', lastName='Mourant', email='gmourantgr@weebly.com', ipAddress='210.52.131.112'}, car=Car{color='#0fbd48', carVin='2D4RN5D19AR043111', carCompany='GMC', carModel='Suburban 2500', carModelYear='1993', carPrice=84627.60}, location=Location{country='Czech Republic', city='Bílovice'}, date=2020-04-07}
Purchase{id=613, person=Person{firstName='Shayne', lastName='Angelo', email='sangeloh0@nationalgeographic.com', ipAddress='57.102.188.37'}, car=Car{color='#41087a', carVin='1G6KS54Y31U403967', carCompany='GMC', carModel='2500 Club Coupe', carModelYear='1992', carPrice=45723.16}, location=Location{country='Poland', city='Czarna Dąbrówka'}, date=2020-07-16}
Purchase{id=647, person=Person{firstName='Konstanze', lastName='Clink', email='kclinkhy@stanford.edu', ipAddress='72.146.2.5'}, car=Car{color='#4c53c5', carVin='JTEBU5JR7F5986836', carCompany='GMC', carModel='Savana 2500', carModelYear='2012', carPrice=93562.16}, location=Location{country='Czech Republic', city='Hošťka'}, date=2020-12-11}
Purchase{id=660, person=Person{firstName='Cynthea', lastName='Ellson', email='cellsonib@cocolog-nifty.com', ipAddress='206.74.200.55'}, car=Car{color='#c3226e', carVin='1D4PT7GXXAW497299', carCompany='GMC', carModel='2500', carModelYear='1993', carPrice=21660.32}, location=Location{country='Poland', city='Lubasz'}, date=2020-05-15}
Purchase{id=667, person=Person{firstName='Maighdiln', lastName='Sapp', email='msappii@list-manage.com', ipAddress='64.112.131.231'}, car=Car{color='#b9a809', carVin='3D73Y4CL2BG053046', carCompany='GMC', carModel='Savana 1500', carModelYear='2010', carPrice=40340.91}, location=Location{country='Poland', city='Rozwadza'}, date=2020-11-27}
Purchase{id=705, person=Person{firstName='Sax', lastName='Mordan', email='smordanjk@biglobe.ne.jp', ipAddress='7.122.198.201'}, car=Car{color='#f85043', carVin='1FTSX2A5XAE000101', carCompany='GMC', carModel='Savana 2500', carModelYear='2002', carPrice=98810.22}, location=Location{country='Czech Republic', city='Dambořice'}, date=2020-07-21}
Purchase{id=748, person=Person{firstName='Ashli', lastName='Blaske', email='ablaskekr@utexas.edu', ipAddress='205.136.124.26'}, car=Car{color='#1ff3f1', carVin='1FTEX1CM9CF292574', carCompany='GMC', carModel='Sierra 1500', carModelYear='2011', carPrice=56821.35}, location=Location{country='Poland', city='Dzięgielów'}, date=2020-05-23}
Purchase{id=864, person=Person{firstName='Kane', lastName='Coldbreath', email='kcoldbreathnz@hexun.com', ipAddress='145.161.71.20'}, car=Car{color='#bc4595', carVin='WBANV13549C565848', carCompany='GMC', carModel='Sierra 3500HD', carModelYear='2006', carPrice=15836.35}, location=Location{country='Germany', city='München'}, date=2020-04-22}
Purchase{id=891, person=Person{firstName='Corliss', lastName='Cabena', email='ccabenaoq@csmonitor.com', ipAddress='59.54.236.199'}, car=Car{color='#56dc82', carVin='19UUA8F24CA675498', carCompany='GMC', carModel='Rally Wagon G3500', carModelYear='1995', carPrice=35595.63}, location=Location{country='Poland', city='Chojna'}, date=2020-01-03}
Purchase{id=907, person=Person{firstName='Kelvin', lastName='Learman', email='klearmanp6@zdnet.com', ipAddress='0.0.216.245'}, car=Car{color='#2b3e57', carVin='JHMZF1C48CS081847', carCompany='GMC', carModel='Yukon', carModelYear='1997', carPrice=15503.07}, location=Location{country='Poland', city='Łysomice'}, date=2020-08-06}
Purchase{id=913, person=Person{firstName='Norina', lastName='O'Lennane', email='nolennanepc@springer.com', ipAddress='159.172.213.215'}, car=Car{color='#8d6fd2', carVin='SCFBF04B68G056306', carCompany='GMC', carModel='Savana 3500', carModelYear='2008', carPrice=86096.31}, location=Location{country='Denmark', city='København'}, date=2020-02-03}
Purchase{id=968, person=Person{firstName='Odette', lastName='Reed', email='oreedqv@quantcast.com', ipAddress='236.215.165.143'}, car=Car{color='#05177f', carVin='JTHBK1GG3D2403989', carCompany='GMC', carModel='Rally Wagon 3500', carModelYear='1993', carPrice=12368.59}, location=Location{country='Czech Republic', city='Náklo'}, date=2020-03-28}
