Purchase{id=27, person=Person{firstName='Carmen', lastName='Bowen', email='cbowenq@nationalgeographic.com', ipAddress='63.239.51.206'}, car=Car{color='#3fb1cf', carVin='WAUGL98E25A270887', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='2005', carPrice=59050.98}, location=Location{country='Germany', city='Kassel'}, date=2020-03-14}
Purchase{id=362, person=Person{firstName='Maxie', lastName='Riccardini', email='mriccardinia1@alexa.com', ipAddress='238.58.249.186'}, car=Car{color='#7da7af', carVin='1N6AA0CAXCN717418', carCompany='Mercedes-Benz', carModel='W201', carModelYear='1985', carPrice=93000.95}, location=Location{country='Czech Republic', city='Otaslavice'}, date=2020-02-09}
Purchase{id=371, person=Person{firstName='Florella', lastName='Faivre', email='ffaivreaa@taobao.com', ipAddress='220.249.190.204'}, car=Car{color='#8f4944', carVin='WBAAZ33475K024301', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='1999', carPrice=16464.10}, location=Location{country='Germany', city='Hamburg'}, date=2020-02-14}
Purchase{id=425, person=Person{firstName='Elfrieda', lastName='Poznan', email='epoznanbs@microsoft.com', ipAddress='65.53.105.127'}, car=Car{color='#16c4ce', carVin='WAUEH94F46N957726', carCompany='Mercedes-Benz', carModel='S-Class', carModelYear='2006', carPrice=63444.94}, location=Location{country='Poland', city='Cielądz'}, date=2020-09-27}
Purchase{id=436, person=Person{firstName='Loralee', lastName='Gammell', email='lgammellc3@canalblog.com', ipAddress='108.77.9.62'}, car=Car{color='#bfc2d7', carVin='19VDE1F72DE536824', carCompany='Mercedes-Benz', carModel='300E', carModelYear='1992', carPrice=69282.52}, location=Location{country='Poland', city='Imielin'}, date=2020-07-29}
Purchase{id=480, person=Person{firstName='Paulie', lastName='Allso', email='pallsodb@naver.com', ipAddress='11.169.68.80'}, car=Car{color='#49e867', carVin='1GYS3CEF4ER538647', carCompany='Mercedes-Benz', carModel='SLK-Class', carModelYear='2002', carPrice=66904.75}, location=Location{country='Poland', city='Łapsze Niżne'}, date=2020-09-22}
Purchase{id=543, person=Person{firstName='Daryle', lastName='Eul', email='deulf2@technorati.com', ipAddress='100.29.120.198'}, car=Car{color='#1c2cb0', carVin='2D4RN3D18AR025963', carCompany='Mercedes-Benz', carModel='R-Class', carModelYear='2008', carPrice=40634.21}, location=Location{country='Poland', city='Pecna'}, date=2020-08-17}
Purchase{id=608, person=Person{firstName='Niki', lastName='Ramshay', email='nramshaygv@buzzfeed.com', ipAddress='202.36.11.136'}, car=Car{color='#2f46a1', carVin='JTMHY7AJ8E4324454', carCompany='Mercedes-Benz', carModel='R-Class', carModelYear='2006', carPrice=19967.40}, location=Location{country='Czech Republic', city='Sviadnov'}, date=2020-06-10}
Purchase{id=611, person=Person{firstName='Don', lastName='Nuemann', email='dnuemanngy@rediff.com', ipAddress='208.98.91.86'}, car=Car{color='#3c0bc2', carVin='1G4HP52KX4U461274', carCompany='Mercedes-Benz', carModel='S-Class', carModelYear='2008', carPrice=80139.84}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-03}
Purchase{id=635, person=Person{firstName='Helli', lastName='Atchly', email='hatchlyhm@hatena.ne.jp', ipAddress='132.170.78.198'}, car=Car{color='#d965a1', carVin='2HNYD18293H884663', carCompany='Mercedes-Benz', carModel='SLK-Class', carModelYear='2011', carPrice=69094.53}, location=Location{country='Poland', city='Kabaty'}, date=2020-05-30}
Purchase{id=656, person=Person{firstName='Clyve', lastName='Hart', email='charti7@rediff.com', ipAddress='2.166.229.34'}, car=Car{color='#42cc46', carVin='TRURD28N461598920', carCompany='Mercedes-Benz', carModel='SLR McLaren', carModelYear='2007', carPrice=98123.27}, location=Location{country='Poland', city='Drobin'}, date=2020-07-26}
Purchase{id=659, person=Person{firstName='Doloritas', lastName='Finker', email='dfinkeria@unicef.org', ipAddress='117.203.210.120'}, car=Car{color='#1b0751', carVin='SCBLE47K88C474045', carCompany='Mercedes-Benz', carModel='CL65 AMG', carModelYear='2009', carPrice=59195.01}, location=Location{country='Poland', city='Wierzchosławice'}, date=2020-08-30}
Purchase{id=680, person=Person{firstName='Waylin', lastName='Sofe', email='wsofeiv@berkeley.edu', ipAddress='62.163.35.64'}, car=Car{color='#417bbe', carVin='YV4902DZ0B2091187', carCompany='Mercedes-Benz', carModel='G-Class', carModelYear='2012', carPrice=30421.46}, location=Location{country='Czech Republic', city='Lípa'}, date=2020-12-27}
Purchase{id=710, person=Person{firstName='Liuka', lastName='Gronno', email='lgronnojp@clickbank.net', ipAddress='24.237.139.160'}, car=Car{color='#63b385', carVin='5N1AN0NU5DN788618', carCompany='Mercedes-Benz', carModel='SLK-Class', carModelYear='2008', carPrice=17927.78}, location=Location{country='Poland', city='Nowa Góra'}, date=2020-01-11}
Purchase{id=729, person=Person{firstName='Tierney', lastName='Bullent', email='tbullentk8@ibm.com', ipAddress='8.8.111.155'}, car=Car{color='#f2bd67', carVin='1C4AJWAG0FL779908', carCompany='Mercedes-Benz', carModel='M-Class', carModelYear='2010', carPrice=76751.56}, location=Location{country='Poland', city='Kamieniec Wrocławski'}, date=2020-01-06}
Purchase{id=733, person=Person{firstName='Gaylord', lastName='Dosedale', email='gdosedalekc@hugedomains.com', ipAddress='202.25.221.17'}, car=Car{color='#2b1164', carVin='1C3CCBAG0EN919801', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='2009', carPrice=81517.63}, location=Location{country='Czech Republic', city='Višňova'}, date=2020-03-04}
Purchase{id=740, person=Person{firstName='Philippine', lastName='Newman', email='pnewmankj@github.io', ipAddress='32.160.93.106'}, car=Car{color='#734857', carVin='2HNYD288X8H248397', carCompany='Mercedes-Benz', carModel='S-Class', carModelYear='1989', carPrice=32875.67}, location=Location{country='Czech Republic', city='Vyškov'}, date=2020-02-11}
Purchase{id=781, person=Person{firstName='Kerry', lastName='Eaddy', email='keaddylo@livejournal.com', ipAddress='179.65.199.129'}, car=Car{color='#a3be82', carVin='1FTEW1CFXFK468130', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='1994', carPrice=4799.02}, location=Location{country='Poland', city='Zielona Góra'}, date=2020-12-28}
Purchase{id=785, person=Person{firstName='Elton', lastName='MacLaughlin', email='emaclaughlinls@feedburner.com', ipAddress='63.57.95.167'}, car=Car{color='#d981fa', carVin='WVGAV7AX9FW335673', carCompany='Mercedes-Benz', carModel='C-Class', carModelYear='1999', carPrice=87503.18}, location=Location{country='Czech Republic', city='Petrov'}, date=2020-04-15}
Purchase{id=796, person=Person{firstName='Florence', lastName='Shepton', email='fsheptonm3@mapy.cz', ipAddress='4.65.18.55'}, car=Car{color='#772c62', carVin='1GD422CG5EF564985', carCompany='Mercedes-Benz', carModel='CL-Class', carModelYear='2006', carPrice=77944.64}, location=Location{country='Czech Republic', city='Bludov'}, date=2020-03-10}
Purchase{id=805, person=Person{firstName='Darline', lastName='Yakobowitz', email='dyakobowitzmc@etsy.com', ipAddress='187.112.158.190'}, car=Car{color='#59c853', carVin='JN8AS1MU1AM533426', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='1996', carPrice=54876.31}, location=Location{country='Czech Republic', city='Předměřice nad Labem'}, date=2020-05-04}
Purchase{id=811, person=Person{firstName='Radcliffe', lastName='Petit', email='rpetitmi@bloglovin.com', ipAddress='183.151.43.158'}, car=Car{color='#f56d72', carVin='5N1BA0NE5FN170324', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='2003', carPrice=66284.37}, location=Location{country='Poland', city='Sędziejowice'}, date=2020-12-11}
Purchase{id=819, person=Person{firstName='Babette', lastName='Brayshaw', email='bbrayshawmq@tamu.edu', ipAddress='252.133.3.111'}, car=Car{color='#4b9540', carVin='3D73Y3CL4BG766346', carCompany='Mercedes-Benz', carModel='SLS AMG', carModelYear='2011', carPrice=79588.99}, location=Location{country='Czech Republic', city='Líně'}, date=2020-01-03}
Purchase{id=861, person=Person{firstName='Bob', lastName='Allbrook', email='ballbrooknw@princeton.edu', ipAddress='6.79.11.37'}, car=Car{color='#792007', carVin='3TMJU4GN3EM074082', carCompany='Mercedes-Benz', carModel='W201', carModelYear='1992', carPrice=86538.44}, location=Location{country='Poland', city='Potęgowo'}, date=2020-03-19}
Purchase{id=877, person=Person{firstName='Alfy', lastName='Nevill', email='anevilloc@mapy.cz', ipAddress='147.243.148.87'}, car=Car{color='#b668c9', carVin='1N6AD0CUXCN912310', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='2012', carPrice=97767.71}, location=Location{country='Poland', city='Komorów'}, date=2020-04-05}
Purchase{id=901, person=Person{firstName='Ashlee', lastName='Dismore', email='adismorep0@va.gov', ipAddress='74.86.153.49'}, car=Car{color='#c2b7fe', carVin='2G4WC582561030950', carCompany='Mercedes-Benz', carModel='W123', carModelYear='1977', carPrice=44748.84}, location=Location{country='Germany', city='Berlin'}, date=2020-01-18}
Purchase{id=906, person=Person{firstName='Heinrik', lastName='Fewkes', email='hfewkesp5@zdnet.com', ipAddress='255.212.54.62'}, car=Car{color='#a0ffbe', carVin='JTJBM7FX7A5973887', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='1992', carPrice=31371.77}, location=Location{country='Denmark', city='København'}, date=2020-09-07}
Purchase{id=924, person=Person{firstName='Evelin', lastName='Trustram', email='etrustrampn@berkeley.edu', ipAddress='124.231.224.23'}, car=Car{color='#255d32', carVin='2C3CDXHG4CH218846', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='1985', carPrice=20801.29}, location=Location{country='Poland', city='Kołbiel'}, date=2020-10-05}
Purchase{id=945, person=Person{firstName='Abe', lastName='Mc Comb', email='amccombq8@chron.com', ipAddress='161.32.18.178'}, car=Car{color='#881729', carVin='19VDE1F77FE872469', carCompany='Mercedes-Benz', carModel='C-Class', carModelYear='2007', carPrice=44998.76}, location=Location{country='Poland', city='Olsztynek'}, date=2020-11-08}
Purchase{id=951, person=Person{firstName='Christy', lastName='Merton', email='cmertonqe@oaic.gov.au', ipAddress='93.202.134.73'}, car=Car{color='#325ec1', carVin='WBA3G7C5XEK034559', carCompany='Mercedes-Benz', carModel='300TE', carModelYear='1992', carPrice=58487.99}, location=Location{country='Poland', city='Klenica'}, date=2020-05-15}
Purchase{id=970, person=Person{firstName='Denney', lastName='Meechan', email='dmeechanqx@icq.com', ipAddress='191.96.132.126'}, car=Car{color='#51aa42', carVin='1N6AF0KY8EN499949', carCompany='Mercedes-Benz', carModel='SLK-Class', carModelYear='2002', carPrice=93702.98}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-03}
Purchase{id=987, person=Person{firstName='Barnie', lastName='Skentelbery', email='bskentelberyre@chicagotribune.com', ipAddress='74.49.83.211'}, car=Car{color='#bb2d06', carVin='WBAFB33461L281058', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='2011', carPrice=18686.72}, location=Location{country='Poland', city='Opatów'}, date=2020-05-21}
Purchase{id=992, person=Person{firstName='Moreen', lastName='Darley', email='mdarleyrj@skyrock.com', ipAddress='123.209.151.121'}, car=Car{color='#334a1b', carVin='WAUHFAFL5DA539459', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='2002', carPrice=38456.38}, location=Location{country='Poland', city='Strachówka'}, date=2020-07-18}
