Purchase{id=29, person=Person{firstName='Sacha', lastName='Lamport', email='slamports@psu.edu', ipAddress='134.108.190.141'}, car=Car{color='#cc8cd1', carVin='YV1952AS8D1054810', carCompany='Pontiac', carModel='Solstice', carModelYear='2006', carPrice=20647.67}, location=Location{country='Czech Republic', city='Vidče'}, date=2020-05-14}
Purchase{id=333, person=Person{firstName='Curt', lastName='Billie', email='cbillie98@blogger.com', ipAddress='250.19.215.70'}, car=Car{color='#cd2e07', carVin='JH4CU25649C906270', carCompany='Pontiac', carModel='G8', carModelYear='2008', carPrice=1514.04}, location=Location{country='Poland', city='Mniszków'}, date=2020-08-12}
Purchase{id=379, person=Person{firstName='Danie', lastName='Coney', email='dconeyai@si.edu', ipAddress='242.228.214.5'}, car=Car{color='#3df28c', carVin='SCBBR9ZA6BC727596', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1991', carPrice=66983.14}, location=Location{country='Czech Republic', city='Dolní Cerekev'}, date=2020-06-18}
Purchase{id=382, person=Person{firstName='Clerkclaude', lastName='Gilliland', email='cgillilandal@123-reg.co.uk', ipAddress='22.20.180.179'}, car=Car{color='#dac840', carVin='WUATNAFGXBN933552', carCompany='Pontiac', carModel='G8', carModelYear='2008', carPrice=43318.68}, location=Location{country='Poland', city='Chrząstowice'}, date=2020-11-13}
Purchase{id=428, person=Person{firstName='Iggie', lastName='Adame', email='iadamebv@bing.com', ipAddress='13.35.45.112'}, car=Car{color='#30cddb', carVin='WAUJF98K29N059934', carCompany='Pontiac', carModel='LeMans', carModelYear='1989', carPrice=60284.14}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-02-03}
Purchase{id=464, person=Person{firstName='Krystle', lastName='Prendeville', email='kprendevillecv@epa.gov', ipAddress='247.40.183.193'}, car=Car{color='#7ee9ff', carVin='1GD020CG3DZ842010', carCompany='Pontiac', carModel='Bonneville', carModelYear='1986', carPrice=79501.76}, location=Location{country='Poland', city='Widuchowa'}, date=2020-05-12}
Purchase{id=495, person=Person{firstName='Clevie', lastName='Bussey', email='cbusseydq@hhs.gov', ipAddress='215.240.107.38'}, car=Car{color='#803171', carVin='1ZVBP8AN1A5526121', carCompany='Pontiac', carModel='Sunbird', carModelYear='1985', carPrice=88574.10}, location=Location{country='Poland', city='Częstochowa'}, date=2020-09-14}
Purchase{id=500, person=Person{firstName='Pammy', lastName='Unwin', email='punwindv@quantcast.com', ipAddress='183.158.192.201'}, car=Car{color='#f7f4a7', carVin='JN8AZ1MU4DW418579', carCompany='Pontiac', carModel='LeMans', carModelYear='1968', carPrice=88662.66}, location=Location{country='Poland', city='Nidek'}, date=2020-12-16}
Purchase{id=564, person=Person{firstName='Paten', lastName='Daws', email='pdawsfn@xing.com', ipAddress='214.18.241.80'}, car=Car{color='#acf264', carVin='JA4AP3AUXBZ849001', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1990', carPrice=51170.69}, location=Location{country='Poland', city='Ursus'}, date=2020-12-09}
Purchase{id=602, person=Person{firstName='Merrill', lastName='Ault', email='maultgp@pagesperso-orange.fr', ipAddress='52.158.43.233'}, car=Car{color='#17f924', carVin='3VWC17AU5FM660946', carCompany='Pontiac', carModel='LeMans', carModelYear='1990', carPrice=81005.80}, location=Location{country='Poland', city='Czerwonak'}, date=2020-11-29}
Purchase{id=623, person=Person{firstName='Berny', lastName='Moreno', email='bmorenoha@google.com', ipAddress='212.238.28.154'}, car=Car{color='#ec0915', carVin='JN8AE2KP6E9204806', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1974', carPrice=75406.97}, location=Location{country='Poland', city='Mosina'}, date=2020-05-29}
Purchase{id=689, person=Person{firstName='Kimble', lastName='Tomsu', email='ktomsuj4@google.it', ipAddress='18.238.212.102'}, car=Car{color='#1db3dc', carVin='1G6D05EG8A0239109', carCompany='Pontiac', carModel='Fiero', carModelYear='1984', carPrice=8202.10}, location=Location{country='Poland', city='Mirzec'}, date=2020-03-24}
Purchase{id=721, person=Person{firstName='Josefina', lastName='Minto', email='jmintok0@altervista.org', ipAddress='37.169.220.58'}, car=Car{color='#c27af5', carVin='2B3CK4CV8AH592607', carCompany='Pontiac', carModel='G6', carModelYear='2007', carPrice=44112.55}, location=Location{country='Poland', city='Drzewica'}, date=2020-10-31}
Purchase{id=737, person=Person{firstName='Port', lastName='Dennington', email='pdenningtonkg@trellian.com', ipAddress='239.195.141.98'}, car=Car{color='#0dd7dd', carVin='2C3CCAAG5EH125508', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1966', carPrice=9921.56}, location=Location{country='Poland', city='Zbąszyń'}, date=2020-06-28}
Purchase{id=760, person=Person{firstName='Tony', lastName='Jiran', email='tjiranl3@admin.ch', ipAddress='101.27.81.161'}, car=Car{color='#63533e', carVin='WAUFFAFL1FA834942', carCompany='Pontiac', carModel='GTO', carModelYear='1972', carPrice=86303.79}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-04-15}
Purchase{id=783, person=Person{firstName='Pete', lastName='Vala', email='pvalalq@reference.com', ipAddress='158.119.73.26'}, car=Car{color='#016608', carVin='WAUDG94F36N580871', carCompany='Pontiac', carModel='Vibe', carModelYear='2010', carPrice=13702.26}, location=Location{country='Czech Republic', city='Kunčice pod Ondřejníkem'}, date=2020-01-02}
Purchase{id=793, person=Person{firstName='Lula', lastName='Langthorne', email='llangthornem0@sciencedaily.com', ipAddress='70.18.129.64'}, car=Car{color='#d20bc0', carVin='JA32U2FU0EU192151', carCompany='Pontiac', carModel='Grand Am', carModelYear='2000', carPrice=31178.86}, location=Location{country='Czech Republic', city='Vyškov'}, date=2020-07-18}
Purchase{id=800, person=Person{firstName='Leicester', lastName='Taberer', email='ltabererm7@harvard.edu', ipAddress='113.225.210.40'}, car=Car{color='#0f485f', carVin='1G6DB1EDXB0637366', carCompany='Pontiac', carModel='G6', carModelYear='2008', carPrice=36745.87}, location=Location{country='Poland', city='Mirzec'}, date=2020-11-09}
Purchase{id=830, person=Person{firstName='Alfons', lastName='Dine-Hart', email='adinehartn1@yelp.com', ipAddress='124.100.164.80'}, car=Car{color='#a8095d', carVin='SAJWA6BC3F8490138', carCompany='Pontiac', carModel='Trans Sport', carModelYear='1993', carPrice=305.73}, location=Location{country='Poland', city='Czemierniki'}, date=2020-11-04}
Purchase{id=858, person=Person{firstName='Gay', lastName='Tait', email='gtaitnt@devhub.com', ipAddress='234.234.185.41'}, car=Car{color='#e6a7ea', carVin='WBAUN1C57CV917716', carCompany='Pontiac', carModel='LeMans', carModelYear='1966', carPrice=88280.13}, location=Location{country='Poland', city='Ostroróg'}, date=2020-08-28}
Purchase{id=898, person=Person{firstName='Cosette', lastName='Mead', email='cmeadox@indiatimes.com', ipAddress='199.65.212.112'}, car=Car{color='#190d96', carVin='1GYS4GEF4BR314990', carCompany='Pontiac', carModel='G5', carModelYear='2009', carPrice=453.87}, location=Location{country='Poland', city='Wiślica'}, date=2020-02-28}
Purchase{id=904, person=Person{firstName='Marty', lastName='Sambath', email='msambathp3@taobao.com', ipAddress='153.53.186.40'}, car=Car{color='#9c3f17', carVin='1GYS4HEF8CR671595', carCompany='Pontiac', carModel='Firebird', carModelYear='1984', carPrice=98532.02}, location=Location{country='Poland', city='Parczew'}, date=2020-12-10}
Purchase{id=935, person=Person{firstName='Bram', lastName='Lanfranchi', email='blanfranchipy@goo.ne.jp', ipAddress='230.36.180.14'}, car=Car{color='#6edf42', carVin='3VW467AT6DM667835', carCompany='Pontiac', carModel='Vibe', carModelYear='2006', carPrice=76578.31}, location=Location{country='Poland', city='Nysa'}, date=2020-02-10}
Purchase{id=947, person=Person{firstName='Basilio', lastName='Patise', email='bpatiseqa@webnode.com', ipAddress='43.59.160.162'}, car=Car{color='#b4e05c', carVin='WBAAV534X1J077968', carCompany='Pontiac', carModel='Montana', carModelYear='2006', carPrice=49063.18}, location=Location{country='Poland', city='Bobolice'}, date=2020-02-27}
Purchase{id=984, person=Person{firstName='Ashleigh', lastName='Stolte', email='astolterb@telegraph.co.uk', ipAddress='2.72.157.148'}, car=Car{color='#64d3ea', carVin='JN1AZ4EH0BM689522', carCompany='Pontiac', carModel='LeMans', carModelYear='1990', carPrice=65315.34}, location=Location{country='Czech Republic', city='Lučina'}, date=2020-10-02}
