Purchase{id=5, person=Person{firstName='Gabbi', lastName='Hafner', email='ghafner4@icio.us', ipAddress='8.198.1.190'}, car=Car{color='#0d807c', carVin='WBAFU9C5XDD400069', carCompany='Mazda', carModel='B-Series Plus', carModelYear='2004', carPrice=71988.49}, location=Location{country='Poland', city='Gilowice'}, date=2020-12-26}
Purchase{id=334, person=Person{firstName='Cart', lastName='Rozzier', email='crozzier99@samsung.com', ipAddress='143.85.71.187'}, car=Car{color='#91192e', carVin='1FTEX1C82AF480997', carCompany='Mazda', carModel='RX-7', carModelYear='1989', carPrice=60821.10}, location=Location{country='Czech Republic', city='Grygov'}, date=2020-06-11}
Purchase{id=370, person=Person{firstName='Rodie', lastName='Windress', email='rwindressa9@admin.ch', ipAddress='128.140.17.88'}, car=Car{color='#dc372d', carVin='3N1BC1AP8BL565641', carCompany='Mazda', carModel='B2000', carModelYear='1985', carPrice=69924.62}, location=Location{country='Poland', city='Stoczek'}, date=2020-12-01}
Purchase{id=391, person=Person{firstName='Kellby', lastName='Feeham', email='kfeehamau@odnoklassniki.ru', ipAddress='86.118.49.71'}, car=Car{color='#e46b3a', carVin='5N1AN0NU9DN745948', carCompany='Mazda', carModel='B-Series Plus', carModelYear='2002', carPrice=81993.36}, location=Location{country='Poland', city='Trzebnica'}, date=2020-07-26}
Purchase{id=414, person=Person{firstName='Luigi', lastName='Clemas', email='lclemasbh@bloomberg.com', ipAddress='18.27.132.168'}, car=Car{color='#5ee766', carVin='1FTEW1CF7FK123072', carCompany='Mazda', carModel='Miata MX-5', carModelYear='2002', carPrice=34512.20}, location=Location{country='Poland', city='Dębe Wielkie'}, date=2020-03-01}
Purchase{id=421, person=Person{firstName='Hilario', lastName='Zannetti', email='hzannettibo@businessinsider.com', ipAddress='153.214.110.37'}, car=Car{color='#1fc3e2', carVin='4T1BF1FK0CU841945', carCompany='Mazda', carModel='MX-5', carModelYear='2004', carPrice=41728.54}, location=Location{country='Poland', city='Sosnówka'}, date=2020-09-12}
Purchase{id=434, person=Person{firstName='Carol-jean', lastName='Mournian', email='cmournianc1@illinois.edu', ipAddress='3.139.242.226'}, car=Car{color='#1099f7', carVin='1C4AJWAG7DL939151', carCompany='Mazda', carModel='MX-6', carModelYear='1991', carPrice=56681.54}, location=Location{country='Poland', city='Pawłowiczki'}, date=2020-05-07}
Purchase{id=454, person=Person{firstName='Garik', lastName='Gaw', email='ggawcl@t.co', ipAddress='40.59.42.245'}, car=Car{color='#7cb387', carVin='SCFBF04B88G078257', carCompany='Mazda', carModel='CX-7', carModelYear='2010', carPrice=21597.37}, location=Location{country='Poland', city='Wasilków'}, date=2020-09-30}
Purchase{id=473, person=Person{firstName='Fanchon', lastName='Episcopio', email='fepiscopiod4@ocn.ne.jp', ipAddress='161.193.57.28'}, car=Car{color='#909c5c', carVin='JH4CL95936C357534', carCompany='Mazda', carModel='B-Series Plus', carModelYear='1992', carPrice=97277.50}, location=Location{country='Poland', city='Uniejów'}, date=2020-03-04}
Purchase{id=530, person=Person{firstName='Callida', lastName='Ertelt', email='certeltep@shutterfly.com', ipAddress='180.123.22.44'}, car=Car{color='#17f1ae', carVin='3D7LP2ET8BG985465', carCompany='Mazda', carModel='B-Series Plus', carModelYear='2002', carPrice=45897.22}, location=Location{country='Poland', city='Janowiec'}, date=2020-04-10}
Purchase{id=625, person=Person{firstName='Bradley', lastName='Plomer', email='bplomerhc@gmpg.org', ipAddress='134.131.92.164'}, car=Car{color='#dc7cfb', carVin='WBAFR7C59CD430006', carCompany='Mazda', carModel='RX-8', carModelYear='2010', carPrice=62387.06}, location=Location{country='Poland', city='Gorzów Śląski'}, date=2020-03-04}
Purchase{id=627, person=Person{firstName='Sigvard', lastName='Parratt', email='sparratthe@tripod.com', ipAddress='125.92.157.168'}, car=Car{color='#cb6f24', carVin='WAUXL68E44A133818', carCompany='Mazda', carModel='Familia', carModelYear='1991', carPrice=70021.37}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-09-11}
Purchase{id=716, person=Person{firstName='Tracey', lastName='Blethin', email='tblethinjv@redcross.org', ipAddress='90.246.143.171'}, car=Car{color='#775447', carVin='WAUMGBFL6AA150245', carCompany='Mazda', carModel='CX-9', carModelYear='2010', carPrice=19705.91}, location=Location{country='Denmark', city='København'}, date=2020-06-12}
Purchase{id=747, person=Person{firstName='Florella', lastName='Leonard', email='fleonardkq@walmart.com', ipAddress='224.124.229.58'}, car=Car{color='#856a31', carVin='KMHTC6ADXFU970704', carCompany='Mazda', carModel='626', carModelYear='1993', carPrice=71137.72}, location=Location{country='Czech Republic', city='Žirovnice'}, date=2020-09-10}
Purchase{id=755, person=Person{firstName='Caryn', lastName='Connachan', email='cconnachanky@intel.com', ipAddress='245.123.176.226'}, car=Car{color='#7de7e6', carVin='1G6KD57Y38U451081', carCompany='Mazda', carModel='MPV', carModelYear='1992', carPrice=89254.00}, location=Location{country='Czech Republic', city='Měcholupy'}, date=2020-07-25}
Purchase{id=815, person=Person{firstName='Raven', lastName='Keeri', email='rkeerimm@spotify.com', ipAddress='129.185.92.52'}, car=Car{color='#a2296a', carVin='WAUNF98P96A924284', carCompany='Mazda', carModel='MPV', carModelYear='1993', carPrice=58981.72}, location=Location{country='Poland', city='Błaszki'}, date=2020-04-20}
Purchase{id=834, person=Person{firstName='Vaughn', lastName='Mayhou', email='vmayhoun5@ftc.gov', ipAddress='156.15.245.84'}, car=Car{color='#f6c8a4', carVin='JH4CU2E6XAC652178', carCompany='Mazda', carModel='Mazdaspeed 3', carModelYear='2007', carPrice=92331.15}, location=Location{country='Czech Republic', city='Kamenný Přívoz'}, date=2020-05-31}
Purchase{id=838, person=Person{firstName='Vikky', lastName='Dadson', email='vdadsonn9@ed.gov', ipAddress='119.76.168.70'}, car=Car{color='#1c8431', carVin='WA1BY94L38D593572', carCompany='Mazda', carModel='Familia', carModelYear='1989', carPrice=83979.53}, location=Location{country='Czech Republic', city='Dambořice'}, date=2020-11-12}
Purchase{id=911, person=Person{firstName='Dore', lastName='Canaan', email='dcanaanpa@canalblog.com', ipAddress='11.225.244.198'}, car=Car{color='#140149', carVin='SAJWA4EC5FM614630', carCompany='Mazda', carModel='MX-5', carModelYear='2006', carPrice=13384.30}, location=Location{country='Czech Republic', city='Častolovice'}, date=2020-07-31}
Purchase{id=922, person=Person{firstName='Reid', lastName='Lettley', email='rlettleypl@friendfeed.com', ipAddress='10.101.198.100'}, car=Car{color='#257e11', carVin='3C3CFFBR3ET217714', carCompany='Mazda', carModel='MX-3', carModelYear='1995', carPrice=40200.92}, location=Location{country='Czech Republic', city='Orlová'}, date=2020-04-01}
Purchase{id=981, person=Person{firstName='Grier', lastName='Houseman', email='ghousemanr8@ihg.com', ipAddress='27.133.101.159'}, car=Car{color='#5cdbc3', carVin='3D7TP2CT5BG448314', carCompany='Mazda', carModel='626', carModelYear='1988', carPrice=27606.00}, location=Location{country='Czech Republic', city='Raškovice'}, date=2020-07-01}
Purchase{id=998, person=Person{firstName='Louis', lastName='Leary', email='llearyrp@imdb.com', ipAddress='52.131.214.105'}, car=Car{color='#0ab4b7', carVin='1N6AD0CU7EN307356', carCompany='Mazda', carModel='Tribute', carModelYear='2010', carPrice=8031.83}, location=Location{country='Poland', city='Nowe Miasto'}, date=2020-04-25}
