Purchase{id=98, person=Person{firstName='Elmo', lastName='Bezant', email='ebezant2p@newsvine.com', ipAddress='235.99.242.125'}, car=Car{color='#952399', carVin='1FTMF1CW3AF329339', carCompany='Mercury', carModel='Cougar', carModelYear='1970', carPrice=88700.15}, location=Location{country='Czech Republic', city='Mirošov'}, date=2020-01-04}
Purchase{id=402, person=Person{firstName='Mayer', lastName='Lazer', email='mlazerb5@edublogs.org', ipAddress='167.64.141.230'}, car=Car{color='#734860', carVin='WP0CA2A86FS611688', carCompany='Mercury', carModel='Mountaineer', carModelYear='1997', carPrice=41726.55}, location=Location{country='Poland', city='Karnice'}, date=2020-11-07}
Purchase{id=510, person=Person{firstName='Olly', lastName='Sheryn', email='osheryne5@zimbio.com', ipAddress='26.43.42.200'}, car=Car{color='#b17c5c', carVin='1GKS1AE01BR826492', carCompany='Mercury', carModel='Sable', carModelYear='2008', carPrice=88771.17}, location=Location{country='Poland', city='Dobczyce'}, date=2020-07-22}
Purchase{id=526, person=Person{firstName='Gabriell', lastName='Derr', email='gderrel@de.vu', ipAddress='244.77.221.211'}, car=Car{color='#478496', carVin='1FMJK1F54CE291898', carCompany='Mercury', carModel='Cougar', carModelYear='2002', carPrice=50675.72}, location=Location{country='Poland', city='Drezdenko'}, date=2020-01-10}
Purchase{id=553, person=Person{firstName='Faythe', lastName='Shenton', email='fshentonfc@archive.org', ipAddress='140.12.228.183'}, car=Car{color='#07291f', carVin='WBASP2C56CC901204', carCompany='Mercury', carModel='Mariner', carModelYear='2006', carPrice=53006.62}, location=Location{country='Poland', city='Gołkowice'}, date=2020-09-04}
Purchase{id=563, person=Person{firstName='Florinda', lastName='Maier', email='fmaierfm@economist.com', ipAddress='147.254.125.182'}, car=Car{color='#d10a8b', carVin='1FA6P8AM6F5627941', carCompany='Mercury', carModel='Sable', carModelYear='2001', carPrice=37903.44}, location=Location{country='Poland', city='Kokotów'}, date=2020-07-13}
Purchase{id=694, person=Person{firstName='Jeannine', lastName='Grimbaldeston', email='jgrimbaldestonj9@army.mil', ipAddress='151.193.138.112'}, car=Car{color='#3e9c11', carVin='1FTEW1CM8EF381297', carCompany='Mercury', carModel='Cougar', carModelYear='1967', carPrice=55346.30}, location=Location{country='Germany', city='Berlin'}, date=2020-05-22}
Purchase{id=708, person=Person{firstName='Nealon', lastName='De Gogay', email='ndegogayjn@yelp.com', ipAddress='49.109.86.206'}, car=Car{color='#a8ad35', carVin='WAULT58E05A962122', carCompany='Mercury', carModel='Topaz', carModelYear='1992', carPrice=88186.70}, location=Location{country='Poland', city='Olszówka'}, date=2020-10-15}
Purchase{id=712, person=Person{firstName='Collin', lastName='Sollime', email='csollimejr@sciencedirect.com', ipAddress='177.129.229.227'}, car=Car{color='#647785', carVin='WBADR634X1G734997', carCompany='Mercury', carModel='Tracer', carModelYear='1992', carPrice=29227.96}, location=Location{country='Czech Republic', city='Všetaty'}, date=2020-06-23}
Purchase{id=756, person=Person{firstName='Dina', lastName='Walkey', email='dwalkeykz@wisc.edu', ipAddress='233.131.26.182'}, car=Car{color='#17dbfd', carVin='SCBBR93W88C407550', carCompany='Mercury', carModel='Grand Marquis', carModelYear='1992', carPrice=96434.99}, location=Location{country='Czech Republic', city='Františkovy Lázně'}, date=2020-04-11}
Purchase{id=790, person=Person{firstName='Benyamin', lastName='Nodes', email='bnodeslx@gizmodo.com', ipAddress='112.70.141.94'}, car=Car{color='#c5ab8a', carVin='KMHGC4DD0DU079500', carCompany='Mercury', carModel='Villager', carModelYear='1996', carPrice=19761.40}, location=Location{country='Germany', city='Hamburg Harvestehude'}, date=2020-05-14}
Purchase{id=792, person=Person{firstName='Leigh', lastName='Froschauer', email='lfroschauerlz@wufoo.com', ipAddress='97.207.13.52'}, car=Car{color='#690902', carVin='1FTWX3B50AE789283', carCompany='Mercury', carModel='Topaz', carModelYear='1990', carPrice=6267.14}, location=Location{country='Czech Republic', city='Všetaty'}, date=2020-08-27}
Purchase{id=820, person=Person{firstName='Gardener', lastName='Bilovus', email='gbilovusmr@europa.eu', ipAddress='220.138.58.198'}, car=Car{color='#815aac', carVin='1D4PT2GK1AW486876', carCompany='Mercury', carModel='Grand Marquis', carModelYear='1999', carPrice=92848.71}, location=Location{country='Poland', city='Czarnowąsy'}, date=2020-07-15}
Purchase{id=827, person=Person{firstName='Sydney', lastName='O' Borne', email='sobornemy@arstechnica.com', ipAddress='13.158.39.1'}, car=Car{color='#36ce6f', carVin='WAUEF78E07A835773', carCompany='Mercury', carModel='Topaz', carModelYear='1989', carPrice=65032.86}, location=Location{country='Czech Republic', city='Svoboda nad Úpou'}, date=2020-09-15}
Purchase{id=840, person=Person{firstName='Brittaney', lastName='Hambling', email='bhamblingnb@vkontakte.ru', ipAddress='14.108.5.141'}, car=Car{color='#73644c', carVin='WBAGL83594D442623', carCompany='Mercury', carModel='Sable', carModelYear='1987', carPrice=32745.24}, location=Location{country='Poland', city='Karnice'}, date=2020-11-21}
Purchase{id=940, person=Person{firstName='Garik', lastName='Dwelley', email='gdwelleyq3@ezinearticles.com', ipAddress='219.56.27.131'}, car=Car{color='#6d8d13', carVin='19XFA1F30AE306591', carCompany='Mercury', carModel='Capri', carModelYear='1992', carPrice=8438.45}, location=Location{country='Czech Republic', city='Pražmo'}, date=2020-09-16}
Purchase{id=991, person=Person{firstName='Pauly', lastName='Woolston', email='pwoolstonri@4shared.com', ipAddress='200.141.161.185'}, car=Car{color='#eafab3', carVin='JTDBT4K38B1070986', carCompany='Mercury', carModel='Cougar', carModelYear='1997', carPrice=18256.62}, location=Location{country='Germany', city='Köln'}, date=2020-10-20}
Purchase{id=993, person=Person{firstName='Rodd', lastName='Munkley', email='rmunkleyrk@rambler.ru', ipAddress='24.205.115.116'}, car=Car{color='#ad3482', carVin='WAUDFAFL9EN001310', carCompany='Mercury', carModel='Grand Marquis', carModelYear='2000', carPrice=21225.95}, location=Location{country='Czech Republic', city='Čáslav'}, date=2020-01-12}
Purchase{id=995, person=Person{firstName='Rossie', lastName='Hick', email='rhickrm@google.it', ipAddress='0.110.248.57'}, car=Car{color='#1ec438', carVin='2G4GT5GR0D9474299', carCompany='Mercury', carModel='Lynx', carModelYear='1986', carPrice=69167.18}, location=Location{country='Poland', city='Zamarski'}, date=2020-05-12}
